Generation	X	Y	Population	NormalCells	DeathRate	Diversity	DriverDiversity
0.000000	0	0	1	1023	0.000000	0.000000	0.000000
10.867301	0	0	1025	0	100.000000	0.000000	0.000000
20.867601	0	0	1025	0	100.000000	0.000000	0.000000
30.867849	0	0	1025	0	100.000000	0.000000	0.000000
40.868191	0	0	1025	0	100.000000	0.000000	0.000000
50.868393	0	0	1024	0	0.000000	0.000000	0.000000
60.868828	0	0	1025	0	100.000000	0.000000	0.000000
70.869278	0	0	1025	0	100.000000	0.000000	0.000000
80.869614	0	0	1025	0	100.000000	0.000000	0.000000
90.870140	0	0	1024	0	0.000000	0.000000	0.000000
100.870583	0	0	1025	0	100.000000	0.000000	0.000000
110.870934	0	0	1025	0	100.000000	0.000000	0.000000
120.871124	0	0	1025	0	100.000000	0.000000	0.000000
130.871567	0	0	1025	0	100.000000	0.000000	0.000000
140.871918	0	0	1025	0	100.000000	0.000000	0.000000
150.872208	0	0	1025	0	100.000000	0.000000	0.000000
160.872696	0	0	1025	0	100.000000	0.000000	0.000000
170.873123	0	0	1026	0	100.000000	0.000000	0.000000
180.873581	0	0	1025	0	100.000000	0.000000	0.000000
190.873901	0	0	1024	0	0.000000	0.000000	0.000000
200.874359	0	0	1024	0	0.000000	0.000000	0.000000
210.874847	0	0	1025	0	100.000000	0.000000	0.000000
220.875198	0	0	1025	0	100.000000	0.000000	0.000000
230.875732	0	0	1025	0	100.000000	0.000000	0.000000
240.876450	0	0	1024	0	0.000000	0.000000	0.000000
250.877121	0	0	1024	0	0.000000	0.000000	0.000000
260.877472	0	0	1025	0	100.000000	0.000000	0.000000
270.877838	0	0	1025	0	100.000000	0.000000	0.000000
280.878296	0	0	1025	0	100.000000	0.000000	0.000000
290.878448	0	0	1024	0	0.000000	0.000000	0.000000
300.878693	0	0	1025	0	100.000000	0.000000	0.000000
310.878845	0	0	1025	0	100.000000	0.000000	0.000000
320.879150	0	0	1025	0	100.000000	0.000000	0.000000
330.879333	0	0	1025	0	100.000000	0.000000	0.000000
340.879700	0	0	1025	0	100.000000	0.000000	0.000000
350.880035	0	0	1025	0	100.000000	0.000000	0.000000
360.880432	0	0	1025	0	100.000000	0.000000	0.000000
370.880737	0	0	1025	0	100.000000	0.000000	0.000000
380.881042	0	0	1025	0	100.000000	0.000000	0.000000
390.881378	0	0	1025	0	100.000000	0.000000	0.000000
400.881683	0	0	1025	0	100.000000	0.000000	0.000000
