Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.867301	1	0.000976	83
10.867301	2	0.001951	36
10.867301	3	0.002927	18
10.867301	4	0.003902	17
10.867301	5	0.004878	6
10.867301	6	0.005854	10
10.867301	7	0.006829	9
10.867301	8	0.007805	2
10.867301	9	0.008780	6
10.867301	10	0.009756	5
10.867301	12	0.011707	6
10.867301	14	0.013659	2
10.867301	18	0.017561	3
10.867301	13	0.012683	4
10.867301	35	0.034146	1
10.867301	17	0.016585	1
10.867301	15	0.014634	3
10.867301	24	0.023415	1
10.867301	38	0.037073	1
10.867301	23	0.022439	1
10.867301	11	0.010732	4
10.867301	22	0.021463	1
10.867301	21	0.020488	1
20.867601	1	0.000976	84
20.867601	2	0.001951	39
20.867601	3	0.002927	29
20.867601	4	0.003902	17
20.867601	5	0.004878	12
20.867601	6	0.005854	12
20.867601	7	0.006829	7
20.867601	8	0.007805	2
20.867601	9	0.008780	6
20.867601	10	0.009756	5
20.867601	25	0.024390	1
20.867601	16	0.015610	4
20.867601	20	0.019512	2
20.867601	13	0.012683	2
20.867601	11	0.010732	2
20.867601	12	0.011707	3
20.867601	15	0.014634	1
20.867601	23	0.022439	1
20.867601	33	0.032195	2
20.867601	19	0.018537	2
20.867601	17	0.016585	1
20.867601	35	0.034146	1
30.867849	1	0.000976	79
30.867849	2	0.001951	27
30.867849	3	0.002927	26
30.867849	4	0.003902	14
30.867849	5	0.004878	8
30.867849	6	0.005854	9
30.867849	7	0.006829	8
30.867849	8	0.007805	6
30.867849	9	0.008780	1
30.867849	10	0.009756	1
30.867849	23	0.022439	2
30.867849	24	0.023415	1
30.867849	25	0.024390	1
30.867849	17	0.016585	1
30.867849	14	0.013659	2
30.867849	13	0.012683	3
30.867849	29	0.028293	1
30.867849	16	0.015610	2
30.867849	40	0.039024	1
30.867849	19	0.018537	1
30.867849	12	0.011707	2
30.867849	11	0.010732	3
30.867849	26	0.025366	1
30.867849	20	0.019512	2
30.867849	32	0.031220	1
30.867849	30	0.029268	1
30.867849	15	0.014634	1
30.867849	42	0.040976	1
40.868191	1	0.000976	78
40.868191	2	0.001951	31
40.868191	3	0.002927	30
40.868191	4	0.003902	11
40.868191	5	0.004878	17
40.868191	6	0.005854	12
40.868191	7	0.006829	5
40.868191	8	0.007805	3
40.868191	9	0.008780	5
40.868191	10	0.009756	4
40.868191	12	0.011707	4
40.868191	26	0.025366	1
40.868191	11	0.010732	2
40.868191	47	0.045854	1
40.868191	16	0.015610	3
40.868191	34	0.033171	1
40.868191	32	0.031220	1
40.868191	53	0.051707	1
40.868191	24	0.023415	1
40.868191	30	0.029268	1
40.868191	14	0.013659	2
40.868191	13	0.012683	2
40.868191	17	0.016585	1
40.868191	15	0.014634	1
50.868393	1	0.000977	108
50.868393	2	0.001953	42
50.868393	3	0.002930	18
50.868393	4	0.003906	15
50.868393	5	0.004883	15
50.868393	6	0.005859	8
50.868393	7	0.006836	8
50.868393	8	0.007812	4
50.868393	9	0.008789	3
50.868393	10	0.009766	2
50.868393	18	0.017578	4
50.868393	12	0.011719	4
50.868393	20	0.019531	1
50.868393	43	0.041992	1
50.868393	13	0.012695	3
50.868393	17	0.016602	3
50.868393	14	0.013672	1
50.868393	27	0.026367	1
50.868393	30	0.029297	1
50.868393	31	0.030273	1
50.868393	19	0.018555	1
50.868393	35	0.034180	1
50.868393	16	0.015625	1
50.868393	15	0.014648	1
60.868828	1	0.000976	82
60.868828	2	0.001951	32
60.868828	3	0.002927	20
60.868828	4	0.003902	10
60.868828	5	0.004878	12
60.868828	6	0.005854	6
60.868828	7	0.006829	8
60.868828	8	0.007805	9
60.868828	9	0.008780	5
60.868828	10	0.009756	6
60.868828	28	0.027317	1
60.868828	11	0.010732	4
60.868828	45	0.043902	1
60.868828	22	0.021463	1
60.868828	12	0.011707	5
60.868828	17	0.016585	1
60.868828	24	0.023415	2
60.868828	21	0.020488	1
60.868828	37	0.036098	1
60.868828	14	0.013659	2
60.868828	18	0.017561	1
60.868828	30	0.029268	1
60.868828	33	0.032195	1
60.868828	19	0.018537	1
70.869278	1	0.000976	85
70.869278	2	0.001951	41
70.869278	3	0.002927	28
70.869278	4	0.003902	27
70.869278	5	0.004878	15
70.869278	6	0.005854	9
70.869278	7	0.006829	7
70.869278	8	0.007805	9
70.869278	9	0.008780	3
70.869278	10	0.009756	6
70.869278	18	0.017561	1
70.869278	26	0.025366	1
70.869278	11	0.010732	4
70.869278	13	0.012683	4
70.869278	24	0.023415	1
70.869278	23	0.022439	1
70.869278	17	0.016585	1
70.869278	28	0.027317	1
70.869278	12	0.011707	1
70.869278	16	0.015610	2
70.869278	20	0.019512	1
70.869278	33	0.032195	1
80.869614	1	0.000976	79
80.869614	2	0.001951	38
80.869614	3	0.002927	28
80.869614	4	0.003902	17
80.869614	5	0.004878	18
80.869614	6	0.005854	10
80.869614	7	0.006829	5
80.869614	8	0.007805	4
80.869614	9	0.008780	4
80.869614	10	0.009756	3
80.869614	35	0.034146	1
80.869614	34	0.033171	1
80.869614	17	0.016585	2
80.869614	24	0.023415	1
80.869614	26	0.025366	1
80.869614	20	0.019512	1
80.869614	21	0.020488	1
80.869614	14	0.013659	3
80.869614	11	0.010732	2
