NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.000000	0.000000	0	0	0
6	1	-1	-1	1.770873	0	0	0	6	1.000000	0.000000	0.000000	0	0	0
19	1	-1	-1	2.830266	0	0	0	19	1.000000	0.000000	0.000000	0	0	0
44	1	-1	-1	3.865218	0	0	0	44	1.000000	0.000000	0.000000	0	0	0
105	1	-1	-1	4.866865	0	0	0	105	1.000000	0.000000	0.000000	0	0	0
269	1	-1	-1	5.867089	0	0	0	269	1.000000	0.000000	0.000000	0	0	0
684	1	-1	-1	6.867263	0	0	0	327	1.000000	0.000000	0.000000	0	0	0
684	1	-1	-1	6.867263	1	1	0	356	21.021544	0.000000	6.557436	1	0	0
1024	1	-1	-1	7.867265	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	7.867265	1	1	0	1024	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	8.867295	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	8.867295	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1026	1	-1	-1	9.867297	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1026	1	-1	-1	9.867297	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	10.867301	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	10.867301	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	11.867331	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	11.867331	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	12.867332	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	12.867332	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	13.867334	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	13.867334	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	14.867339	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	14.867339	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	15.867360	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	15.867360	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1026	1	-1	-1	16.867369	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1026	1	-1	-1	16.867369	1	1	0	1026	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	17.867411	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	17.867411	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1024	1	-1	-1	18.867422	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	18.867422	1	1	0	1024	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	19.867434	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	19.867434	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	20.867601	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	20.867601	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	21.867622	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	21.867622	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	22.867626	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	22.867626	1	1	0	1024	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	23.867632	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	23.867632	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	24.867640	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	24.867640	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	25.867670	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	25.867670	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1026	1	-1	-1	26.867691	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1026	1	-1	-1	26.867691	1	1	0	1026	21.021544	0.000000	6.557436	1	0	0
1024	1	-1	-1	27.867691	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	27.867691	1	1	0	1024	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	28.867727	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	28.867727	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	29.867786	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	29.867786	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	30.867849	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	30.867849	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	31.867899	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	31.867899	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	32.867901	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	32.867901	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	33.867905	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	33.867905	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	34.867939	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	34.867939	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1024	1	-1	-1	35.867943	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	35.867943	1	1	0	1023	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	36.867973	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	36.867973	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1026	1	-1	-1	37.867977	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1026	1	-1	-1	37.867977	1	1	0	1026	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	38.868000	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	38.868000	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1024	1	-1	-1	39.868000	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	39.868000	1	1	0	1024	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	40.868191	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	40.868191	1	1	0	1023	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	41.868198	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	41.868198	1	1	0	1024	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	42.868198	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	42.868198	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	43.868225	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	43.868225	1	1	0	1023	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	44.868294	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	44.868294	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1024	1	-1	-1	45.868294	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	45.868294	1	1	0	1024	21.021544	0.000000	6.557436	1	0	0
1024	1	-1	-1	46.868298	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	46.868298	1	1	0	1024	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	47.868309	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	47.868309	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	48.868347	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	48.868347	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	49.868393	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	49.868393	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1024	1	-1	-1	50.868393	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	50.868393	1	1	0	1024	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	51.868462	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	51.868462	1	1	0	1025	21.021544	0.000000	6.557436	1	0	0
1025	1	-1	-1	52.868465	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
