Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations
0.000000	0	0	0	0	0	0	0	0	1023	1	1.000000	0.000000	0.000000	0.000000	0	0	0
10.867301	0	0	6663	1	4927	0	0	0	0	5	21.021544	0.000000	100.000000	0.000000	1	0	8
10.867301	1	0	6467	1	5806	0	0	0	0	10	21.021544	0.000000	100.000000	0.000000	1	0	7
10.867301	2	0	6321	1	5209	0	0	0	0	12	21.021544	0.000000	100.000000	0.000000	1	0	10
10.867301	3	0	4573	1	3941	0	0	0	0	7	21.021544	0.000000	100.000000	0.000000	1	0	4
10.867301	4	0	6624	1	6186	0	0	0	0	1	21.021544	0.000000	100.000000	0.000000	1	0	9
10.867301	5	0	6068	1	5900	0	0	0	0	3	21.021544	0.000000	100.000000	0.000000	1	0	7
10.867301	6	0	4709	1	3127	0	0	0	0	1	21.021544	0.000000	100.000000	0.000000	1	0	5
10.867301	7	0	6268	1	6165	0	0	0	0	6	21.021544	0.000000	100.000000	0.000000	1	0	6
10.867301	8	0	6616	1	6234	0	0	0	0	1	21.021544	0.000000	100.000000	0.000000	1	0	6
10.867301	9	0	3284	1	2797	0	0	0	0	14	21.021544	0.000000	100.000000	0.000000	1	0	4
10.867301	10	0	4927	1	4421	0	0	0	0	15	21.021544	0.000000	100.000000	0.000000	1	0	7
10.867301	11	0	6491	1	5337	0	0	0	0	2	21.021544	0.000000	100.000000	0.000000	1	0	7
10.867301	12	0	6725	1	6595	0	0	0	0	1	21.021544	0.000000	100.000000	0.000000	1	0	6
10.867301	13	0	5735	1	5705	0	0	0	0	4	21.021544	0.000000	100.000000	0.000000	1	0	4
10.867301	14	0	6428	1	5629	0	0	0	0	2	21.021544	0.000000	100.000000	0.000000	1	0	11
10.867301	15	0	5948	1	4859	0	0	0	0	4	21.021544	0.000000	100.000000	0.000000	1	0	4
10.867301	16	0	6516	1	5611	0	0	0	0	2	21.021544	0.000000	100.000000	0.000000	1	0	5
10.867301	17	0	6603	1	6405	0	0	0	0	1	21.021544	0.000000	100.000000	0.000000	1	0	6
10.867301	18	0	5409	1	5297	0	0	0	0	24	21.021544	0.000000	100.000000	0.000000	1	0	5
10.867301	19	0	6709	1	5243	0	0	0	0	1	21.021544	0.000000	100.000000	0.000000	1	0	9
10.867301	20	0	6718	1	5271	0	0	0	0	1	21.021544	0.000000	100.000000	0.000000	1	0	4
10.867301	21	0	6579	1	6311	0	0	0	0	2	21.021544	0.000000	100.000000	0.000000	1	0	9
10.867301	22	0	6421	1	5409	0	0	0	0	1	21.021544	0.000000	100.000000	0.000000	1	0	6
