Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.000000	0.000000	1025
0	0	47	1	1	0	1	0	21.021544	0.000000	6.557436	1025
0	47	1274	1	1	0	1	1	21.021544	0.000000	7.609823	1025
0	1274	2985	1	1	0	1	2	21.021544	0.000000	8.650555	1025
0	2985	3983	1	1	0	1	3	21.021544	0.000000	9.252653	1025
0	5297	5409	1	1	0	1	5	21.021544	0.000000	10.091911	1025
0	3983	5297	1	1	0	1	4	21.021544	0.000000	10.030308	1025
0	5409	6114	1	1	0	1	6	21.021544	0.000000	10.510927	1025
0	6114	7939	1	1	0	1	7	21.021544	0.000000	11.552915	1025
0	7939	8548	1	1	0	1	8	21.021544	0.000000	11.922209	1025
0	8548	9902	1	1	0	1	9	21.021544	0.000000	12.713403	1025
0	9902	16384	1	1	0	1	10	21.021544	0.000000	16.516937	1025
0	16384	19181	1	1	0	1	11	21.021544	0.000000	18.145769	1025
0	19181	21837	1	1	0	1	12	21.021544	0.000000	19.704453	1025
0	21837	22217	1	1	0	1	13	21.021544	0.000000	19.901999	1025
0	22217	23182	1	1	0	1	14	21.021544	0.000000	20.475622	1025
0	23182	23742	1	1	0	1	15	21.021544	0.000000	20.818268	1025
0	24185	24317	1	1	0	1	17	21.021544	0.000000	21.161320	1025
0	23742	24185	1	1	0	1	16	21.021544	0.000000	21.086908	1025
0	24317	24826	1	1	0	1	18	21.021544	0.000000	21.459518	1025
0	24826	26012	1	1	0	1	19	21.021544	0.000000	22.187649	1025
0	26012	33690	1	1	0	1	20	21.021544	0.000000	26.723989	1025
0	33690	34743	1	1	0	1	21	21.021544	0.000000	27.346775	1025
0	35250	35272	1	1	0	1	23	21.021544	0.000000	27.670227	1025
0	34743	35250	1	1	0	1	22	21.021544	0.000000	27.655100	1025
0	35272	36716	1	1	0	1	24	21.021544	0.000000	28.517445	1025
0	36716	37087	1	1	0	1	25	21.021544	0.000000	28.737860	1025
0	38138	38382	1	1	0	1	27	21.021544	0.000000	29.536600	1025
0	37087	38138	1	1	0	1	26	21.021544	0.000000	29.382181	1025
0	38382	38739	1	1	0	1	28	21.021544	0.000000	29.747583	1025
0	41654	42090	1	1	0	1	31	21.021544	0.000000	31.751158	1025
0	38739	41436	1	1	0	1	29	21.021544	0.000000	31.350874	1025
0	41436	41654	1	1	0	1	30	21.021544	0.000000	31.492001	1025
0	42090	44029	1	1	0	1	32	21.021544	0.000000	32.870132	1025
0	44029	47469	1	1	0	1	33	21.021544	0.000000	34.914207	1025
0	47469	49368	1	1	0	1	34	21.021544	0.000000	36.029678	1025
0	53180	53588	1	1	0	1	38	21.021544	0.000000	38.494534	1025
0	49368	52692	1	1	0	1	35	21.021544	0.000000	37.970348	1025
0	52692	52915	1	1	0	1	36	21.021544	0.000000	38.094845	1025
0	52915	53180	1	1	0	1	37	21.021544	0.000000	38.245823	1025
0	53588	54043	1	1	0	1	39	21.021544	0.000000	38.748623	1025
0	54999	55778	1	1	0	1	41	21.021544	0.000000	39.760029	1025
0	54043	54999	1	1	0	1	40	21.021544	0.000000	39.275196	1025
0	55778	57036	1	1	0	1	42	21.021544	0.000000	40.481949	1025
0	57036	57259	1	1	0	1	43	21.021544	0.000000	40.621189	1025
0	57259	57752	1	1	0	1	44	21.021544	0.000000	40.901649	1025
0	57752	59368	1	1	0	1	45	21.021544	0.000000	41.879913	1025
0	59368	60263	1	1	0	1	46	21.021544	0.000000	42.431625	1025
0	60263	62768	1	1	0	1	47	21.021544	0.000000	43.844429	1025
0	62768	64752	1	1	0	1	48	21.021544	0.000000	45.003113	1025
0	64752	67152	1	1	0	1	49	21.021544	0.000000	46.395866	1025
0	67152	67395	1	1	0	1	50	21.021544	0.000000	46.531525	1025
0	67395	68579	1	1	0	1	51	21.021544	0.000000	47.258965	1025
0	68639	68674	1	1	0	1	53	21.021544	0.000000	47.308216	1025
0	68579	68639	1	1	0	1	52	21.021544	0.000000	47.293442	1025
0	68674	70178	1	1	0	1	54	21.021544	0.000000	48.178329	1025
0	70963	71237	1	1	0	1	56	21.021544	0.000000	48.825829	1025
0	70178	70963	1	1	0	1	55	21.021544	0.000000	48.669930	1025
0	71237	71646	1	1	0	1	57	21.021544	0.000000	49.050701	1025
0	71646	77374	1	1	0	1	58	21.021544	0.000000	52.362659	1025
0	77374	78504	1	1	0	1	59	21.021544	0.000000	53.060398	1025
0	78504	80027	1	1	0	1	60	21.021544	0.000000	53.908508	1025
0	80027	81074	1	1	0	1	61	21.021544	0.000000	54.508228	1025
0	81074	81924	1	1	0	1	62	21.021544	0.000000	55.023212	1025
0	81924	82300	1	1	0	1	63	21.021544	0.000000	55.261833	1025
