Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigRandomSamples
0.000000	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
10.840543	680	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
20.847744	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
30.848183	1025	1.001953	1.001953	1.001953	1.000000	1.000000	1.005013	1.000000	1.000000	1.005871
40.848648	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
50.849186	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
60.849747	1025	1.001953	1.001953	1.001953	1.000000	1.000000	1.000000	1.000000	1.000000	1.001953
70.850159	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
80.851204	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
90.851692	1025	1.001953	1.001953	1.001953	1.000000	1.000000	1.010050	1.004008	1.000000	1.001953
100.852524	1025	1.001953	1.001953	1.001953	1.000000	1.010050	1.005013	1.002002	1.001953	1.005871
110.852966	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
120.853157	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
130.853546	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
140.853638	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
150.853806	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
160.854095	1024	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
170.854477	1025	1.001953	1.001953	1.001953	1.000000	1.000000	1.000000	1.000000	1.001953	1.000000
180.854691	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
190.855057	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
200.855331	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
210.855560	1024	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
220.855911	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
230.856201	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
240.856537	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
250.856873	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
260.857208	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
270.857666	1025	1.001953	1.001953	1.001953	1.000000	1.000000	1.000000	1.002002	1.000000	1.001953
280.857941	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
290.858093	1025	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
