Generation	X	Y	Population	NormalCells	DeathRate	Diversity	DriverDiversity
0.000000	0	0	1	1023	0.000000	0.000000	0.000000
10.840543	0	0	680	345	100.000000	0.000000	0.000000
20.847744	0	0	1025	0	100.000000	0.000000	0.000000
30.848183	0	0	1025	0	100.000000	0.000000	0.000000
40.848648	0	0	1025	0	100.000000	0.000000	0.000000
50.849186	0	0	1025	0	100.000000	0.000000	0.000000
60.849747	0	0	1025	0	100.000000	0.000000	0.000000
70.850159	0	0	1025	0	100.000000	0.000000	0.000000
80.851204	0	0	1025	0	100.000000	0.000000	0.000000
90.851692	0	0	1025	0	100.000000	0.000000	0.000000
100.852524	0	0	1025	0	100.000000	0.000000	0.000000
110.852966	0	0	1025	0	100.000000	0.000000	0.000000
120.853157	0	0	1025	0	100.000000	0.000000	0.000000
130.853546	0	0	1025	0	100.000000	0.000000	0.000000
140.853638	0	0	1025	0	100.000000	0.000000	0.000000
150.853806	0	0	1025	0	100.000000	0.000000	0.000000
160.854095	0	0	1024	0	0.000000	0.000000	0.000000
170.854477	0	0	1025	0	100.000000	0.000000	0.000000
180.854691	0	0	1025	0	100.000000	0.000000	0.000000
190.855057	0	0	1025	0	100.000000	0.000000	0.000000
200.855331	0	0	1025	0	100.000000	0.000000	0.000000
210.855560	0	0	1024	0	0.000000	0.000000	0.000000
220.855911	0	0	1025	0	100.000000	0.000000	0.000000
230.856201	0	0	1025	0	100.000000	0.000000	0.000000
240.856537	0	0	1025	0	100.000000	0.000000	0.000000
250.856873	0	0	1025	0	100.000000	0.000000	0.000000
260.857208	0	0	1025	0	100.000000	0.000000	0.000000
270.857666	0	0	1025	0	100.000000	0.000000	0.000000
280.857941	0	0	1025	0	100.000000	0.000000	0.000000
290.858093	0	0	1025	0	100.000000	0.000000	0.000000
300.858368	0	0	1025	0	100.000000	0.000000	0.000000
310.858673	0	0	1024	0	0.000000	0.000000	0.000000
320.858856	0	0	1026	0	100.000000	0.000000	0.000000
330.859283	0	0	1025	0	100.000000	0.000000	0.000000
340.859467	0	0	1025	0	100.000000	0.000000	0.000000
350.859833	0	0	1025	0	100.000000	0.000000	0.000000
360.860046	0	0	1025	0	100.000000	0.000000	0.000000
370.860474	0	0	1025	0	100.000000	0.000000	0.000000
380.860809	0	0	1025	0	100.000000	0.000000	0.000000
390.861023	0	0	1025	0	100.000000	0.000000	0.000000
400.861450	0	0	1025	0	100.000000	0.000000	0.000000
410.861694	0	0	1025	0	100.000000	0.000000	0.000000
420.861938	0	0	1024	0	0.000000	0.000000	0.000000
430.862183	0	0	1025	0	100.000000	0.000000	0.000000
440.862762	0	0	1025	0	100.000000	0.000000	0.000000
450.863007	0	0	1025	0	100.000000	0.000000	0.000000
460.863403	0	0	1025	0	100.000000	0.000000	0.000000
470.863739	0	0	1025	0	100.000000	0.000000	0.000000
480.864136	0	0	1025	0	100.000000	0.000000	0.000000
490.864502	0	0	1025	0	100.000000	0.000000	0.000000
500.864624	0	0	1024	0	0.000000	0.000000	0.000000
510.864746	0	0	1024	0	0.000000	0.000000	0.000000
520.865051	0	0	1025	0	100.000000	0.000000	0.000000
530.865295	0	0	1025	0	100.000000	0.000000	0.000000
540.865662	0	0	1025	0	100.000000	0.000000	0.000000
550.865967	0	0	1025	0	100.000000	0.000000	0.000000
560.866150	0	0	1024	0	0.000000	0.000000	0.000000
570.866394	0	0	1024	0	0.000000	0.000000	0.000000
580.866577	0	0	1025	0	100.000000	0.000000	0.000000
590.866699	0	0	1025	0	100.000000	0.000000	0.000000
600.866943	0	0	1025	0	100.000000	0.000000	0.000000
610.867432	0	0	1025	0	100.000000	0.000000	0.000000
620.867615	0	0	1024	0	0.000000	0.000000	0.000000
630.868042	0	0	1025	0	100.000000	0.000000	0.000000
640.868408	0	0	1025	0	100.000000	0.000000	0.000000
650.868835	0	0	1025	0	100.000000	0.000000	0.000000
660.868958	0	0	1025	0	100.000000	0.000000	0.000000
670.869141	0	0	1025	0	100.000000	0.000000	0.000000
