Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.840543	1	0.001471	33
10.840543	2	0.002941	13
10.840543	3	0.004412	10
10.840543	4	0.005882	4
10.840543	5	0.007353	2
10.840543	6	0.008824	1
10.840543	7	0.010294	2
10.840543	8	0.011765	2
10.840543	9	0.013235	1
10.840543	10	0.014706	1
10.840543	680	1.000000	1
10.840543	373	0.548529	1
10.840543	110	0.161765	1
10.840543	18	0.026471	1
10.840543	19	0.027941	1
20.847744	1	0.000976	97
20.847744	2	0.001951	32
20.847744	3	0.002927	17
20.847744	4	0.003902	20
20.847744	5	0.004878	7
20.847744	6	0.005854	11
20.847744	7	0.006829	5
20.847744	8	0.007805	0
20.847744	9	0.008780	7
20.847744	10	0.009756	3
20.847744	1025	1.000000	1
20.847744	545	0.531707	1
20.847744	159	0.155122	1
20.847744	17	0.016585	4
20.847744	19	0.018537	2
20.847744	37	0.036098	1
20.847744	11	0.010732	4
20.847744	24	0.023415	4
20.847744	14	0.013659	2
20.847744	18	0.017561	6
20.847744	54	0.052683	1
20.847744	30	0.029268	1
20.847744	29	0.028293	2
20.847744	12	0.011707	2
20.847744	16	0.015610	2
20.847744	32	0.031220	1
20.847744	15	0.014634	1
30.848183	1	0.000976	88
30.848183	2	0.001951	22
30.848183	3	0.002927	41
30.848183	4	0.003902	21
30.848183	5	0.004878	9
30.848183	6	0.005854	8
30.848183	7	0.006829	12
30.848183	8	0.007805	11
30.848183	9	0.008780	1
30.848183	10	0.009756	12
30.848183	1025	1.000000	6
30.848183	157	0.153171	10
30.848183	35	0.034146	8
30.848183	187	0.182439	4
30.848183	32	0.031220	3
30.848183	109	0.106341	5
30.848183	37	0.036098	11
30.848183	33	0.032195	12
30.848183	194	0.189268	3
30.848183	50	0.048780	2
30.848183	41	0.040000	9
30.848183	55	0.053659	7
30.848183	42	0.040976	5
30.848183	14	0.013659	6
30.848183	193	0.188293	3
30.848183	114	0.111220	1
30.848183	30	0.029268	3
30.848183	25	0.024390	2
30.848183	36	0.035122	6
30.848183	23	0.022439	5
30.848183	15	0.014634	7
30.848183	20	0.019512	7
30.848183	12	0.011707	8
30.848183	53	0.051707	3
30.848183	16	0.015610	13
30.848183	21	0.020488	3
30.848183	13	0.012683	2
30.848183	46	0.044878	2
30.848183	129	0.125854	2
30.848183	18	0.017561	8
30.848183	101	0.098537	2
30.848183	76	0.074146	1
30.848183	19	0.018537	2
30.848183	49	0.047805	1
30.848183	65	0.063415	1
30.848183	17	0.016585	4
30.848183	51	0.049756	1
30.848183	11	0.010732	2
40.848648	1	0.000976	83
40.848648	2	0.001951	32
40.848648	3	0.002927	35
40.848648	4	0.003902	12
40.848648	5	0.004878	7
40.848648	6	0.005854	10
40.848648	7	0.006829	8
40.848648	8	0.007805	6
40.848648	9	0.008780	12
40.848648	10	0.009756	15
40.848648	1025	1.000000	6
40.848648	176	0.171707	20
40.848648	122	0.119024	6
40.848648	305	0.297561	12
40.848648	95	0.092683	18
40.848648	86	0.083902	6
40.848648	87	0.084878	6
40.848648	88	0.085854	11
40.848648	12	0.011707	37
40.848648	74	0.072195	15
40.848648	56	0.054634	6
40.848648	75	0.073171	10
40.848648	127	0.123902	1
40.848648	178	0.173659	1
40.848648	167	0.162927	1
40.848648	25	0.024390	4
40.848648	31	0.030244	3
40.848648	17	0.016585	12
40.848648	115	0.112195	1
40.848648	19	0.018537	7
40.848648	53	0.051707	5
40.848648	150	0.146341	3
40.848648	41	0.040000	3
40.848648	81	0.079024	1
40.848648	82	0.080000	1
40.848648	11	0.010732	11
40.848648	27	0.026341	2
40.848648	42	0.040976	1
40.848648	50	0.048780	1
40.848648	16	0.015610	4
40.848648	43	0.041951	1
40.848648	30	0.029268	4
40.848648	13	0.012683	3
40.848648	37	0.036098	1
40.848648	22	0.021463	2
40.848648	20	0.019512	3
40.848648	21	0.020488	1
40.848648	159	0.155122	1
40.848648	24	0.023415	1
40.848648	15	0.014634	4
40.848648	18	0.017561	1
40.848648	39	0.038049	2
40.848648	52	0.050732	1
40.848648	29	0.028293	1
40.848648	23	0.022439	1
40.848648	54	0.052683	1
40.848648	28	0.027317	2
50.849186	1	0.000976	73
50.849186	2	0.001951	47
50.849186	3	0.002927	25
50.849186	4	0.003902	17
50.849186	5	0.004878	6
50.849186	6	0.005854	4
50.849186	7	0.006829	8
50.849186	8	0.007805	7
50.849186	9	0.008780	18
50.849186	10	0.009756	4
50.849186	1025	1.000000	6
50.849186	619	0.603902	21
50.849186	117	0.114146	17
50.849186	61	0.059512	24
50.849186	54	0.052683	21
50.849186	174	0.169756	19
50.849186	22	0.021463	8
50.849186	124	0.120976	2
50.849186	372	0.362927	1
50.849186	176	0.171707	12
50.849186	32	0.031220	12
50.849186	123	0.120000	3
50.849186	26	0.025366	11
50.849186	196	0.191220	2
50.849186	19	0.018537	11
50.849186	148	0.144390	1
50.849186	105	0.102439	9
50.849186	62	0.060488	6
50.849186	139	0.135610	3
50.849186	102	0.099512	5
50.849186	15	0.014634	10
50.849186	46	0.044878	4
50.849186	94	0.091707	2
50.849186	39	0.038049	2
50.849186	56	0.054634	3
50.849186	74	0.072195	2
50.849186	24	0.023415	3
50.849186	44	0.042927	3
50.849186	37	0.036098	7
