Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations
0.000000	0	0	0	0	0	0	0	0	1023	1	1.000000	0.000000	0.000000	0.000000	0	0	0
10.840543	0	0	0	0	0	0	0	0	345	207	1.000000	0.000000	100.000000	0.000000	0	0	0
10.840543	1	0	1	0	0	0	0	0	345	227	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	2	0	2	0	1	0	0	0	345	62	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	3	0	50	0	0	0	0	0	345	3	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	4	0	4	0	2	0	0	0	345	15	1.000000	0.000000	100.000000	0.000000	0	0	3
10.840543	5	0	5	0	2	0	0	0	345	4	1.000000	0.000000	100.000000	0.000000	0	0	3
10.840543	6	0	6	0	3	0	0	0	345	2	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	7	0	7	0	0	0	0	0	345	3	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	8	0	8	0	1	0	0	0	345	8	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	9	0	9	0	0	0	0	0	345	4	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	10	0	82	0	2	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	3
10.840543	11	0	11	0	2	0	0	0	345	18	1.000000	0.000000	100.000000	0.000000	0	0	3
10.840543	12	0	16	0	1	0	0	0	345	2	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	13	0	79	0	9	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	14	0	14	0	0	0	0	0	345	2	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	15	0	15	0	0	0	0	0	345	6	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	16	0	17	0	0	0	0	0	345	3	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	17	0	81	0	0	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	18	0	51	0	1	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	19	0	72	0	0	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	20	0	22	0	0	0	0	0	345	4	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	21	0	73	0	10	0	0	0	345	3	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	22	0	24	0	3	0	0	0	345	2	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	23	0	25	0	22	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	24	0	26	0	0	0	0	0	345	7	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	25	0	27	0	0	0	0	0	345	3	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	26	0	28	0	4	0	0	0	345	3	1.000000	0.000000	100.000000	0.000000	0	0	4
10.840543	27	0	29	0	0	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	28	0	30	0	0	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	29	0	31	0	0	0	0	0	345	4	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	30	0	32	0	1	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	2
10.840543	31	0	34	0	0	0	0	0	345	8	1.000000	0.000000	100.000000	0.000000	0	0	1
10.840543	32	0	68	0	0	0	0	0	345	1	1.000000	0.000000	100.000000	0.000000	0	0	1
