Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.840543	1	0.001471	0
10.840543	2	0.002941	0
10.840543	3	0.004412	0
10.840543	4	0.005882	0
10.840543	5	0.007353	0
10.840543	6	0.008824	0
10.840543	7	0.010294	0
10.840543	8	0.011765	0
10.840543	9	0.013235	0
10.840543	10	0.014706	0
10.840543	680	1.000000	1
20.847744	1	0.000976	0
20.847744	2	0.001951	0
20.847744	3	0.002927	0
20.847744	4	0.003902	0
20.847744	5	0.004878	0
20.847744	6	0.005854	0
20.847744	7	0.006829	0
20.847744	8	0.007805	0
20.847744	9	0.008780	0
20.847744	10	0.009756	0
20.847744	1025	1.000000	1
30.848183	1	0.000976	1
30.848183	2	0.001951	0
30.848183	3	0.002927	0
30.848183	4	0.003902	0
30.848183	5	0.004878	0
30.848183	6	0.005854	0
30.848183	7	0.006829	0
30.848183	8	0.007805	0
30.848183	9	0.008780	0
30.848183	10	0.009756	0
30.848183	1025	1.000000	2
40.848648	1	0.000976	0
40.848648	2	0.001951	0
40.848648	3	0.002927	0
40.848648	4	0.003902	0
40.848648	5	0.004878	0
40.848648	6	0.005854	0
40.848648	7	0.006829	0
40.848648	8	0.007805	0
40.848648	9	0.008780	0
40.848648	10	0.009756	0
40.848648	1025	1.000000	2
50.849186	1	0.000976	0
50.849186	2	0.001951	0
50.849186	3	0.002927	0
50.849186	4	0.003902	0
50.849186	5	0.004878	0
50.849186	6	0.005854	0
50.849186	7	0.006829	0
50.849186	8	0.007805	0
50.849186	9	0.008780	0
50.849186	10	0.009756	0
50.849186	1025	1.000000	2
60.849747	1	0.000976	1
60.849747	2	0.001951	0
60.849747	3	0.002927	0
60.849747	4	0.003902	0
60.849747	5	0.004878	0
60.849747	6	0.005854	0
60.849747	7	0.006829	0
60.849747	8	0.007805	0
60.849747	9	0.008780	0
60.849747	10	0.009756	0
60.849747	1025	1.000000	2
70.850159	1	0.000976	0
70.850159	2	0.001951	0
70.850159	3	0.002927	0
70.850159	4	0.003902	0
70.850159	5	0.004878	0
70.850159	6	0.005854	0
70.850159	7	0.006829	0
70.850159	8	0.007805	0
70.850159	9	0.008780	0
70.850159	10	0.009756	0
70.850159	1025	1.000000	2
80.851204	1	0.000976	0
80.851204	2	0.001951	0
80.851204	3	0.002927	0
80.851204	4	0.003902	0
80.851204	5	0.004878	0
80.851204	6	0.005854	0
80.851204	7	0.006829	0
80.851204	8	0.007805	0
80.851204	9	0.008780	0
80.851204	10	0.009756	0
80.851204	1025	1.000000	2
90.851692	1	0.000976	1
90.851692	2	0.001951	0
90.851692	3	0.002927	0
90.851692	4	0.003902	0
90.851692	5	0.004878	0
90.851692	6	0.005854	0
90.851692	7	0.006829	0
90.851692	8	0.007805	0
90.851692	9	0.008780	0
90.851692	10	0.009756	0
90.851692	1025	1.000000	2
100.852524	1	0.000976	1
100.852524	2	0.001951	0
100.852524	3	0.002927	0
100.852524	4	0.003902	0
100.852524	5	0.004878	0
100.852524	6	0.005854	0
100.852524	7	0.006829	0
100.852524	8	0.007805	0
100.852524	9	0.008780	0
100.852524	10	0.009756	0
100.852524	1025	1.000000	2
110.852966	1	0.000976	0
110.852966	2	0.001951	0
110.852966	3	0.002927	0
110.852966	4	0.003902	0
110.852966	5	0.004878	0
110.852966	6	0.005854	0
110.852966	7	0.006829	0
110.852966	8	0.007805	0
110.852966	9	0.008780	0
110.852966	10	0.009756	0
110.852966	1025	1.000000	4
120.853157	1	0.000976	0
120.853157	2	0.001951	0
120.853157	3	0.002927	0
120.853157	4	0.003902	0
120.853157	5	0.004878	0
120.853157	6	0.005854	0
120.853157	7	0.006829	0
120.853157	8	0.007805	0
120.853157	9	0.008780	0
120.853157	10	0.009756	0
120.853157	1025	1.000000	4
130.853546	1	0.000976	0
130.853546	2	0.001951	0
130.853546	3	0.002927	0
130.853546	4	0.003902	0
130.853546	5	0.004878	0
130.853546	6	0.005854	0
130.853546	7	0.006829	0
130.853546	8	0.007805	0
130.853546	9	0.008780	0
130.853546	10	0.009756	0
130.853546	1025	1.000000	4
140.853638	1	0.000976	0
140.853638	2	0.001951	0
140.853638	3	0.002927	0
140.853638	4	0.003902	0
140.853638	5	0.004878	0
140.853638	6	0.005854	0
140.853638	7	0.006829	0
140.853638	8	0.007805	0
140.853638	9	0.008780	0
140.853638	10	0.009756	0
140.853638	1025	1.000000	4
150.853806	1	0.000976	0
150.853806	2	0.001951	0
150.853806	3	0.002927	0
150.853806	4	0.003902	0
150.853806	5	0.004878	0
150.853806	6	0.005854	0
150.853806	7	0.006829	0
150.853806	8	0.007805	0
150.853806	9	0.008780	0
150.853806	10	0.009756	0
150.853806	1025	1.000000	4
160.854095	1	0.000977	0
160.854095	2	0.001953	0
160.854095	3	0.002930	0
160.854095	4	0.003906	0
160.854095	5	0.004883	0
160.854095	6	0.005859	0
160.854095	7	0.006836	0
160.854095	8	0.007812	0
160.854095	9	0.008789	0
160.854095	10	0.009766	0
160.854095	1024	1.000000	4
170.854477	1	0.000976	1
170.854477	2	0.001951	0
170.854477	3	0.002927	0
170.854477	4	0.003902	0
170.854477	5	0.004878	0
170.854477	6	0.005854	0
170.854477	7	0.006829	0
170.854477	8	0.007805	0
170.854477	9	0.008780	0
