EA LL 1,EA LL2,EA1,EA_gld,EB LL 3,EB LL4,EB1,EB2
0.420723586,0.627837275,0.08553561,0.046309551,0.12075664,0.04173836,0.051551867,0.14122098
0.909099908,0.893943303,0.723160169,0.580449036,0.508283743,0.519358862,0.485313365,0.927072817
0.26892112,0.366179458,0.339683441,0.056156141,0.262981464,0.161617212,0.452383881,0.145892209
0.373246304,0.532111024,0.484819556,0.474173595,0.151298032,0.111320895,0.07941062,0.217306391
0.077228358,0.458765697,0.400301801,0.054653225,0.052402094,0.052250118,0.050505968,0.051116157
0.434212519,0.859132296,0.590157116,0.519345223,0.136758137,0.088481996,0.060588632,0.144947819
0.166346725,0.543002262,0.202203787,0.135146112,0.700937208,0.446707291,0.482446142,0.068455664
0.227625538,0.522257526,0.059722738,0.034021552,0.541177771,0.604648975,0.790704365,0.409733533
0.153973118,0.34329787,0.17949979,0.15238112,0.04115913,0.031265321,0.039666522,0.07271176
0.711087569,0.694442837,0.601067892,0.585969268,0.557165311,0.496849959,0.234060179,0.135631456
0.109097631,0.125638301,0.133823536,0.102928289,0.087603358,0.049239514,0.084784648,0.114126394
0.247746465,0.545683333,0.573343547,0.558102752,0.268533143,0.049012029,0.059501446,0.41123763
0.601485099,0.903362622,0.568829858,0.36255379,0.867670009,0.568843044,0.920097194,0.928840594
0.301903661,0.185043156,0.184449401,0.08470468,0.201061236,0.0547265,0.046346619,0.238173947
0.310713147,0.780718131,0.061112716,0.040592718,0.728291729,0.601945875,0.530626224,0.102015409
0.54531617,0.651427619,0.904305192,0.823797414,0.502116067,0.244754635,0.487808224,0.443936673
0.574620458,0.929893049,0.858195033,0.937639795,0.750691198,0.594776748,0.512452135,0.343718229
0.285353106,0.794426744,0.117492961,0.122903193,0.149110558,0.074820197,0.06003805,0.146060396
0.10920723,0.496655685,0.531265465,0.54948351,0.111737415,0.036056345,0.037298365,0.05202176
0.490771216,0.168629434,0.072233514,0.274460346,0.440278909,0.315279708,0.497032989,0.580571927
0.423691837,0.112653929,0.122242041,0.109082884,0.299600322,0.598856477,0.526655759,0.481270953
0.18414224,0.103919928,0.07103584,0.040675037,0.051327712,0.041830556,0.082641654,0.156814567
0.212613383,0.296125134,0.075660395,0.041333818,0.130189382,0.041752156,0.0475824,0.164057365
0.49274861,0.714916607,0.939007321,0.733171336,0.245770385,0.327863365,0.433691597,0.556820077
0.367835961,0.229747023,0.292455535,0.666391748,0.0887511,0.187307603,0.032645465,0.04406048
0.266044337,0.238204076,0.057939281,0.037161041,0.102994565,0.031276533,0.031745946,0.12247636
0.19949407,0.358781496,0.113635754,0.154122922,0.297892452,0.102559519,0.409647213,0.111935047
