Generation	Clone	Deme	Genotype	DriverGenotype	Parent	DriverParent	X	Y	NormalCells	Population	BirthRate	MigrationRate	DeathRate	MigrationModifier	DriverMutations	MigrationMutations	PassengerMutations
0.000000	0	0	0	0	0	0	0	0	1023	1	1.000000	0.000000	0.000000	0.000000	0	0	0
10.050460	0	0	5241	1	4676	0	0	0	0	3	16.186525	0.000000	100.000000	0.000000	1	0	11
10.050460	1	0	5256	1	4867	0	0	0	0	2	16.186525	0.000000	100.000000	0.000000	1	0	6
10.050460	2	0	5356	1	3513	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	7
10.050460	3	0	5170	1	3513	0	0	0	0	6	16.186525	0.000000	100.000000	0.000000	1	0	7
10.050460	4	0	5255	1	3550	0	0	0	0	5	16.186525	0.000000	100.000000	0.000000	1	0	5
10.050460	5	0	5151	1	4636	0	0	0	0	4	16.186525	0.000000	100.000000	0.000000	1	0	10
10.050460	6	0	4439	1	4259	0	0	0	0	14	16.186525	0.000000	100.000000	0.000000	1	0	9
10.050460	7	0	4387	1	4236	0	0	0	0	3	16.186525	0.000000	100.000000	0.000000	1	0	4
10.050460	8	0	5311	1	4568	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	6
10.050460	9	0	4311	1	3146	0	0	0	0	14	16.186525	0.000000	100.000000	0.000000	1	0	6
10.050460	10	0	5332	1	3371	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	4
10.050460	11	0	5095	1	4323	0	0	0	0	4	16.186525	0.000000	100.000000	0.000000	1	0	7
10.050460	12	0	5142	1	2757	0	0	0	0	3	16.186525	0.000000	100.000000	0.000000	1	0	4
10.050460	13	0	4179	1	2757	0	0	0	0	9	16.186525	0.000000	100.000000	0.000000	1	0	4
10.050460	14	0	5062	1	4481	0	0	0	0	9	16.186525	0.000000	100.000000	0.000000	1	0	10
10.050460	15	0	4877	1	4481	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	10
10.050460	16	0	5033	1	1804	0	0	0	0	3	16.186525	0.000000	100.000000	0.000000	1	0	5
10.050460	17	0	5080	1	5079	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	7
10.050460	18	0	4811	1	3057	0	0	0	0	22	16.186525	0.000000	100.000000	0.000000	1	0	5
10.050460	19	0	1804	1	1708	0	0	0	0	3	16.186525	0.000000	100.000000	0.000000	1	0	4
10.050460	20	0	5252	1	5206	0	0	0	0	2	16.186525	0.000000	100.000000	0.000000	1	0	6
10.050460	21	0	5297	1	2994	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	4
10.050460	22	0	3513	1	3318	0	0	0	0	35	16.186525	0.000000	100.000000	0.000000	1	0	6
10.050460	23	0	4261	1	4177	0	0	0	0	14	16.186525	0.000000	100.000000	0.000000	1	0	2
10.050460	24	0	5310	1	2811	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	5
10.050460	25	0	5351	1	3419	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	5
10.050460	26	0	5355	1	3057	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	5
10.050460	27	0	4895	1	4839	0	0	0	0	21	16.186525	0.000000	100.000000	0.000000	1	0	6
10.050460	28	0	5280	1	4686	0	0	0	0	1	16.186525	0.000000	100.000000	0.000000	1	0	5
10.050460	29	0	5092	1	2375	0	0	0	0	3	16.186525	0.000000	100.000000	0.000000	1	0	3
