Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.050460	1	0.000976	0
10.050460	2	0.001951	0
10.050460	3	0.002927	0
10.050460	4	0.003902	0
10.050460	5	0.004878	0
10.050460	6	0.005854	0
10.050460	7	0.006829	0
10.050460	8	0.007805	0
10.050460	9	0.008780	0
10.050460	10	0.009756	0
10.050460	1025	1.000000	2
20.050896	1	0.000976	1
20.050896	2	0.001951	0
20.050896	3	0.002927	0
20.050896	4	0.003902	0
20.050896	5	0.004878	0
20.050896	6	0.005854	0
20.050896	7	0.006829	0
20.050896	8	0.007805	0
20.050896	9	0.008780	0
20.050896	10	0.009756	0
20.050896	1025	1.000000	2
30.051651	1	0.000976	0
30.051651	2	0.001951	0
30.051651	3	0.002927	0
30.051651	4	0.003902	0
30.051651	5	0.004878	0
30.051651	6	0.005854	0
30.051651	7	0.006829	0
30.051651	8	0.007805	0
30.051651	9	0.008780	0
30.051651	10	0.009756	0
30.051651	1025	1.000000	2
40.051865	1	0.000976	0
40.051865	2	0.001951	0
40.051865	3	0.002927	0
40.051865	4	0.003902	0
40.051865	5	0.004878	0
40.051865	6	0.005854	0
40.051865	7	0.006829	0
40.051865	8	0.007805	0
40.051865	9	0.008780	0
40.051865	10	0.009756	0
40.051865	1025	1.000000	2
50.053093	1	0.000976	0
50.053093	2	0.001951	0
50.053093	3	0.002927	0
50.053093	4	0.003902	0
50.053093	5	0.004878	0
50.053093	6	0.005854	0
50.053093	7	0.006829	0
50.053093	8	0.007805	0
50.053093	9	0.008780	0
50.053093	10	0.009756	0
50.053093	1025	1.000000	2
60.053558	1	0.000976	0
60.053558	2	0.001951	0
60.053558	3	0.002927	0
60.053558	4	0.003902	0
60.053558	5	0.004878	0
60.053558	6	0.005854	0
60.053558	7	0.006829	0
60.053558	8	0.007805	0
60.053558	9	0.008780	0
60.053558	10	0.009756	0
60.053558	1025	1.000000	2
70.053848	1	0.000976	1
70.053848	2	0.001951	0
70.053848	3	0.002927	0
70.053848	4	0.003902	0
70.053848	5	0.004878	0
70.053848	6	0.005854	0
70.053848	7	0.006829	0
70.053848	8	0.007805	0
70.053848	9	0.008780	0
70.053848	10	0.009756	0
70.053848	1025	1.000000	2
80.054451	1	0.000976	0
80.054451	2	0.001951	0
80.054451	3	0.002927	0
80.054451	4	0.003902	0
80.054451	5	0.004878	0
80.054451	6	0.005854	0
80.054451	7	0.006829	0
80.054451	8	0.007805	0
80.054451	9	0.008780	0
80.054451	10	0.009756	0
80.054451	1025	1.000000	2
90.054741	1	0.000976	1
90.054741	2	0.001951	0
90.054741	3	0.002927	0
90.054741	4	0.003902	0
90.054741	5	0.004878	0
90.054741	6	0.005854	0
90.054741	7	0.006829	0
90.054741	8	0.007805	0
90.054741	9	0.008780	0
90.054741	10	0.009756	0
90.054741	1025	1.000000	2
100.055420	1	0.000976	0
100.055420	2	0.001951	0
100.055420	3	0.002927	0
100.055420	4	0.003902	0
100.055420	5	0.004878	0
100.055420	6	0.005854	0
100.055420	7	0.006829	0
100.055420	8	0.007805	0
100.055420	9	0.008780	0
100.055420	10	0.009756	0
100.055420	1025	1.000000	2
110.055862	1	0.000977	1
110.055862	2	0.001953	0
110.055862	3	0.002930	0
110.055862	4	0.003906	0
110.055862	5	0.004883	0
110.055862	6	0.005859	0
110.055862	7	0.006836	0
110.055862	8	0.007812	0
110.055862	9	0.008789	0
110.055862	10	0.009766	0
110.055862	1024	1.000000	2
120.056114	1	0.000976	1
120.056114	2	0.001951	0
120.056114	3	0.002927	0
120.056114	4	0.003902	0
120.056114	5	0.004878	0
120.056114	6	0.005854	0
120.056114	7	0.006829	0
120.056114	8	0.007805	0
120.056114	9	0.008780	0
120.056114	10	0.009756	0
120.056114	1025	1.000000	2
130.056549	1	0.000976	0
130.056549	2	0.001951	0
130.056549	3	0.002927	0
130.056549	4	0.003902	0
130.056549	5	0.004878	0
130.056549	6	0.005854	0
130.056549	7	0.006829	0
130.056549	8	0.007805	0
130.056549	9	0.008780	0
130.056549	10	0.009756	0
130.056549	1025	1.000000	2
140.057190	1	0.000977	0
140.057190	2	0.001953	0
140.057190	3	0.002930	0
140.057190	4	0.003906	0
140.057190	5	0.004883	0
140.057190	6	0.005859	0
140.057190	7	0.006836	0
140.057190	8	0.007812	0
140.057190	9	0.008789	0
140.057190	10	0.009766	0
140.057190	1024	1.000000	2
150.057877	1	0.000976	0
150.057877	2	0.001951	0
150.057877	3	0.002927	0
150.057877	4	0.003902	0
150.057877	5	0.004878	0
150.057877	6	0.005854	0
150.057877	7	0.006829	0
150.057877	8	0.007805	0
150.057877	9	0.008780	0
150.057877	10	0.009756	0
150.057877	1025	1.000000	2
160.058243	1	0.000976	0
160.058243	2	0.001951	0
160.058243	3	0.002927	0
160.058243	4	0.003902	0
160.058243	5	0.004878	0
160.058243	6	0.005854	0
160.058243	7	0.006829	0
160.058243	8	0.007805	0
160.058243	9	0.008780	0
160.058243	10	0.009756	0
160.058243	1025	1.000000	2
170.059280	1	0.000976	0
170.059280	2	0.001951	0
170.059280	3	0.002927	0
170.059280	4	0.003902	0
170.059280	5	0.004878	0
170.059280	6	0.005854	0
170.059280	7	0.006829	0
170.059280	8	0.007805	0
170.059280	9	0.008780	0
