NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.000000	0.000000	0	0	0
4	1	-1	-1	1.010105	0	0	0	4	1.000000	0.000000	0.000000	0	0	0
19	1	-1	-1	2.032309	0	0	0	19	1.000000	0.000000	0.000000	0	0	0
42	1	-1	-1	3.043681	0	0	0	42	1.000000	0.000000	0.000000	0	0	0
124	1	-1	-1	4.048162	0	0	0	124	1.000000	0.000000	0.000000	0	0	0
288	1	-1	-1	5.049911	0	0	0	288	1.000000	0.000000	0.000000	0	0	0
999	1	-1	-1	6.049976	0	0	0	21	1.000000	0.000000	0.000000	0	0	0
999	1	-1	-1	6.049976	1	1	0	978	16.186525	0.000000	5.378819	1	0	0
1025	1	-1	-1	7.050201	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	7.050201	1	1	0	1025	16.186525	0.000000	5.378819	1	0	0
1025	1	-1	-1	8.050225	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	8.050225	1	1	0	1025	16.186525	0.000000	5.378819	1	0	0
1025	1	-1	-1	9.050292	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	9.050292	1	1	0	1025	16.186525	0.000000	5.378819	1	0	0
1025	1	-1	-1	10.050460	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	10.050460	1	1	0	1025	16.186525	0.000000	5.378819	1	0	0
1025	1	-1	-1	11.050546	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	11.050546	1	1	0	1020	16.186525	0.000000	5.378819	1	0	0
1025	1	-1	-1	12.050561	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	12.050561	1	1	0	1025	16.186525	0.000000	5.378819	1	0	0
1025	1	-1	-1	13.050569	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	13.050569	1	1	0	1025	16.186525	0.000000	5.378819	1	0	0
1025	1	-1	-1	14.050656	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	14.050656	1	1	0	1025	16.186525	0.000000	5.378819	1	0	0
