Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.269349	1	0.000975	78
10.269349	2	0.001949	27
10.269349	3	0.002924	31
10.269349	4	0.003899	12
10.269349	5	0.004873	7
10.269349	6	0.005848	4
10.269349	7	0.006823	8
10.269349	8	0.007797	3
10.269349	9	0.008772	2
10.269349	10	0.009747	6
10.269349	21	0.020468	1
10.269349	76	0.074074	1
10.269349	12	0.011696	2
10.269349	31	0.030214	1
10.269349	16	0.015595	2
10.269349	29	0.028265	2
10.269349	11	0.010721	3
10.269349	13	0.012671	3
10.269349	52	0.050682	1
10.269349	26	0.025341	1
10.269349	15	0.014620	2
10.269349	14	0.013645	4
10.269349	40	0.038986	1
10.269349	18	0.017544	1
20.269428	1	0.000974	77
20.269428	2	0.001947	38
20.269428	3	0.002921	26
20.269428	4	0.003895	18
20.269428	5	0.004869	6
20.269428	6	0.005842	14
20.269428	7	0.006816	5
20.269428	8	0.007790	5
20.269428	9	0.008763	7
20.269428	10	0.009737	3
20.269428	25	0.024343	1
20.269428	19	0.018500	3
20.269428	13	0.012658	5
20.269428	32	0.031159	1
20.269428	12	0.011685	2
20.269428	14	0.013632	2
20.269428	17	0.016553	2
20.269428	16	0.015579	3
20.269428	18	0.017527	1
20.269428	51	0.049659	1
20.269428	26	0.025316	1
20.269428	23	0.022395	1
20.269428	11	0.010711	1
30.269541	1	0.000976	82
30.269541	2	0.001951	42
30.269541	3	0.002927	26
30.269541	4	0.003902	12
30.269541	5	0.004878	13
30.269541	6	0.005854	12
30.269541	7	0.006829	4
30.269541	8	0.007805	2
30.269541	9	0.008780	4
30.269541	10	0.009756	5
30.269541	22	0.021463	2
30.269541	15	0.014634	5
30.269541	26	0.025366	1
30.269541	11	0.010732	2
30.269541	21	0.020488	1
30.269541	14	0.013659	5
30.269541	58	0.056585	1
30.269541	19	0.018537	2
30.269541	16	0.015610	2
30.269541	31	0.030244	1
30.269541	12	0.011707	3
30.269541	13	0.012683	1
40.269623	1	0.000973	74
40.269623	2	0.001946	41
40.269623	3	0.002918	24
40.269623	4	0.003891	14
40.269623	5	0.004864	18
40.269623	6	0.005837	10
40.269623	7	0.006809	5
40.269623	8	0.007782	5
40.269623	9	0.008755	5
40.269623	10	0.009728	4
40.269623	23	0.022374	2
40.269623	18	0.017510	2
40.269623	11	0.010700	6
40.269623	24	0.023346	2
40.269623	14	0.013619	3
40.269623	51	0.049611	1
40.269623	37	0.035992	1
40.269623	13	0.012646	2
40.269623	12	0.011673	2
40.269623	25	0.024319	1
40.269623	16	0.015564	1
40.269623	17	0.016537	1
50.269775	1	0.000977	76
50.269775	2	0.001953	34
50.269775	3	0.002930	22
50.269775	4	0.003906	11
50.269775	5	0.004883	8
50.269775	6	0.005859	7
50.269775	7	0.006836	4
50.269775	8	0.007812	7
50.269775	9	0.008789	5
50.269775	10	0.009766	5
50.269775	13	0.012695	3
50.269775	28	0.027344	1
50.269775	23	0.022461	2
50.269775	50	0.048828	1
50.269775	44	0.042969	1
50.269775	11	0.010742	4
50.269775	30	0.029297	1
50.269775	12	0.011719	1
50.269775	18	0.017578	2
50.269775	15	0.014648	2
50.269775	19	0.018555	1
50.269775	41	0.040039	1
50.269775	17	0.016602	1
50.269775	26	0.025391	1
50.269775	20	0.019531	1
50.269775	27	0.026367	1
60.269833	1	0.000976	90
60.269833	2	0.001951	42
60.269833	3	0.002927	15
60.269833	4	0.003902	20
60.269833	5	0.004878	12
60.269833	6	0.005854	13
60.269833	7	0.006829	1
60.269833	8	0.007805	7
60.269833	9	0.008780	5
60.269833	10	0.009756	4
60.269833	59	0.057561	1
60.269833	12	0.011707	2
60.269833	16	0.015610	1
60.269833	13	0.012683	3
60.269833	14	0.013659	1
60.269833	28	0.027317	1
60.269833	24	0.023415	1
60.269833	31	0.030244	1
60.269833	32	0.031220	1
60.269833	17	0.016585	2
60.269833	11	0.010732	3
60.269833	27	0.026341	1
60.269833	15	0.014634	2
60.269833	23	0.022439	1
60.269833	26	0.025366	1
70.269875	1	0.000975	69
70.269875	2	0.001949	23
70.269875	3	0.002924	26
70.269875	4	0.003899	13
70.269875	5	0.004873	8
70.269875	6	0.005848	5
70.269875	7	0.006823	6
70.269875	8	0.007797	6
70.269875	9	0.008772	0
70.269875	10	0.009747	6
70.269875	36	0.035088	1
70.269875	25	0.024366	4
70.269875	13	0.012671	2
70.269875	59	0.057505	1
70.269875	17	0.016569	2
70.269875	19	0.018519	1
70.269875	18	0.017544	2
70.269875	24	0.023392	1
70.269875	40	0.038986	1
70.269875	16	0.015595	2
70.269875	15	0.014620	4
70.269875	39	0.038012	1
70.269875	12	0.011696	2
70.269875	21	0.020468	1
70.269875	11	0.010721	1
80.270012	1	0.000976	100
80.270012	2	0.001951	41
80.270012	3	0.002927	31
80.270012	4	0.003902	16
80.270012	5	0.004878	9
80.270012	6	0.005854	10
80.270012	7	0.006829	5
80.270012	8	0.007805	5
80.270012	9	0.008780	7
80.270012	10	0.009756	7
80.270012	25	0.024390	1
80.270012	17	0.016585	3
80.270012	27	0.026341	1
80.270012	24	0.023415	1
80.270012	12	0.011707	2
80.270012	43	0.041951	1
80.270012	16	0.015610	4
80.270012	19	0.018537	1
80.270012	22	0.021463	1
