Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.269349	1	0.000975	83
10.269349	2	0.001949	31
10.269349	3	0.002924	34
10.269349	4	0.003899	11
10.269349	5	0.004873	8
10.269349	6	0.005848	14
10.269349	7	0.006823	10
10.269349	8	0.007797	5
10.269349	9	0.008772	3
10.269349	10	0.009747	5
10.269349	1026	1.000000	4
10.269349	17	0.016569	7
10.269349	36	0.035088	5
10.269349	42	0.040936	5
10.269349	145	0.141326	1
10.269349	20	0.019493	2
10.269349	126	0.122807	3
10.269349	420	0.409357	1
10.269349	21	0.020468	2
10.269349	62	0.060429	1
10.269349	63	0.061404	2
10.269349	13	0.012671	9
10.269349	15	0.014620	6
10.269349	45	0.043860	2
10.269349	40	0.038986	4
10.269349	22	0.021442	1
10.269349	53	0.051657	2
10.269349	32	0.031189	8
10.269349	35	0.034113	3
10.269349	19	0.018519	9
10.269349	115	0.112086	1
10.269349	11	0.010721	4
10.269349	27	0.026316	1
10.269349	51	0.049708	2
20.269428	1	0.000974	108
20.269428	2	0.001947	34
20.269428	3	0.002921	28
20.269428	4	0.003895	22
20.269428	5	0.004869	13
20.269428	6	0.005842	11
20.269428	7	0.006816	24
20.269428	8	0.007790	19
20.269428	9	0.008763	5
20.269428	10	0.009737	7
20.269428	1027	1.000000	27
20.269428	330	0.321324	19
20.269428	605	0.589094	2
20.269428	604	0.588121	10
20.269428	92	0.089581	15
20.269428	196	0.190847	5
20.269428	408	0.397274	9
20.269428	166	0.161636	1
20.269428	164	0.159688	7
20.269428	106	0.103213	3
20.269428	60	0.058423	4
20.269428	186	0.181110	8
20.269428	84	0.081792	4
20.269428	44	0.042843	6
20.269428	309	0.300876	2
20.269428	99	0.096397	6
20.269428	94	0.091529	7
20.269428	40	0.038948	1
20.269428	35	0.034080	8
20.269428	25	0.024343	9
20.269428	82	0.079844	5
20.269428	15	0.014606	12
20.269428	12	0.011685	8
20.269428	34	0.033106	6
20.269428	302	0.294060	2
20.269428	28	0.027264	5
20.269428	16	0.015579	3
20.269428	143	0.139241	1
20.269428	43	0.041870	5
20.269428	58	0.056475	1
20.269428	66	0.064265	1
20.269428	141	0.137293	2
20.269428	53	0.051607	1
20.269428	42	0.040896	4
20.269428	95	0.092502	1
20.269428	18	0.017527	1
20.269428	14	0.013632	4
20.269428	38	0.037001	3
20.269428	79	0.076923	1
20.269428	26	0.025316	1
20.269428	23	0.022395	2
20.269428	29	0.028238	3
20.269428	80	0.077897	1
20.269428	33	0.032132	1
20.269428	54	0.052580	2
20.269428	21	0.020448	2
20.269428	27	0.026290	2
20.269428	20	0.019474	3
20.269428	73	0.071081	1
20.269428	19	0.018500	3
20.269428	22	0.021422	2
20.269428	13	0.012658	3
20.269428	11	0.010711	1
20.269428	17	0.016553	1
30.269541	1	0.000976	79
30.269541	2	0.001951	39
30.269541	3	0.002927	25
30.269541	4	0.003902	19
30.269541	5	0.004878	19
30.269541	6	0.005854	24
30.269541	7	0.006829	6
30.269541	8	0.007805	7
30.269541	9	0.008780	5
30.269541	10	0.009756	8
30.269541	1025	1.000000	27
30.269541	554	0.540488	45
30.269541	471	0.459512	48
30.269541	494	0.481951	1
30.269541	60	0.058537	10
30.269541	466	0.454634	4
30.269541	28	0.027317	34
30.269541	78	0.076098	6
30.269541	73	0.071220	22
30.269541	393	0.383415	29
30.269541	54	0.052683	14
30.269541	349	0.340488	1
30.269541	44	0.042927	3
30.269541	46	0.044878	5
30.269541	32	0.031220	5
30.269541	77	0.075122	1
30.269541	388	0.378537	1
30.269541	80	0.078049	1
30.269541	51	0.049756	3
30.269541	37	0.036098	4
30.269541	84	0.081951	1
30.269541	75	0.073171	2
30.269541	12	0.011707	9
30.269541	35	0.034146	3
30.269541	53	0.051707	2
30.269541	98	0.095610	1
30.269541	31	0.030244	2
30.269541	22	0.021463	5
30.269541	91	0.088780	1
30.269541	19	0.018537	2
30.269541	29	0.028293	3
30.269541	14	0.013659	7
30.269541	76	0.074146	2
30.269541	15	0.014634	5
30.269541	18	0.017561	3
30.269541	25	0.024390	2
30.269541	30	0.029268	1
30.269541	16	0.015610	3
30.269541	26	0.025366	4
30.269541	59	0.057561	1
30.269541	20	0.019512	1
30.269541	23	0.022439	2
30.269541	13	0.012683	3
30.269541	40	0.039024	1
30.269541	17	0.016585	1
30.269541	11	0.010732	1
40.269623	1	0.000973	71
40.269623	2	0.001946	43
40.269623	3	0.002918	33
40.269623	4	0.003891	21
40.269623	5	0.004864	25
40.269623	6	0.005837	11
40.269623	7	0.006809	7
40.269623	8	0.007782	9
40.269623	9	0.008755	5
40.269623	10	0.009728	3
40.269623	1028	1.000000	27
40.269623	1016	0.988327	46
40.269623	12	0.011673	104
40.269623	153	0.148833	68
40.269623	863	0.839494	42
40.269623	642	0.624514	8
40.269623	221	0.214981	3
40.269623	60	0.058366	12
40.269623	161	0.156615	4
40.269623	159	0.154669	14
40.269623	483	0.469844	15
40.269623	83	0.080739	12
40.269623	78	0.075875	14
40.269623	72	0.070039	11
40.269623	81	0.078794	10
40.269623	38	0.036965	4
40.269623	18	0.017510	10
40.269623	380	0.369650	2
40.269623	71	0.069066	8
40.269623	33	0.032101	9
40.269623	126	0.122568	1
40.269623	309	0.300584	1
