Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.000000	0.000000	1028
0	0	1	0	0	0	1	1	1.000000	0.000000	2.135633	1028
0	129	584	3	2	0	1	1	54.853230	0.000000	9.433782	1028
0	1	129	1	1	0	1	1	7.348100	0.000000	7.742762	1028
0	839	953	3	2	0	1	5	54.853230	0.000000	9.689833	1028
0	624	780	3	2	0	1	3	54.853230	0.000000	9.640332	1028
0	584	624	3	2	0	1	2	54.853230	0.000000	9.501275	1028
0	780	839	3	2	0	1	4	54.853230	0.000000	9.660570	1028
0	953	1522	3	2	0	1	6	54.853230	0.000000	9.816316	1028
0	1522	1836	3	2	0	1	7	54.853230	0.000000	9.881805	1028
0	1836	2457	3	2	0	1	8	54.853230	0.000000	10.021826	1028
0	3925	5666	3	2	0	1	10	54.853230	0.000000	10.762537	1028
0	2457	3925	3	2	0	1	9	54.853230	0.000000	10.367191	1028
0	6061	6462	3	2	0	1	12	54.853230	0.000000	10.944457	1028
0	5666	6061	3	2	0	1	11	54.853230	0.000000	10.852509	1028
0	6462	6791	3	2	0	1	13	54.853230	0.000000	11.029096	1028
0	7359	7448	3	2	0	1	16	54.853230	0.000000	11.180602	1028
0	6791	7359	3	2	0	1	15	54.853230	0.000000	11.161634	1028
0	7448	7777	3	2	0	1	17	54.853230	0.000000	11.248560	1028
0	9131	9891	3	2	0	1	20	54.853230	0.000000	11.739376	1028
0	7777	8236	3	2	0	1	18	54.853230	0.000000	11.357361	1028
0	8236	9131	3	2	0	1	19	54.853230	0.000000	11.565119	1028
0	9891	10057	3	2	0	1	21	54.853230	0.000000	11.770653	1028
0	10057	10652	3	2	0	1	22	54.853230	0.000000	11.895625	1028
0	10652	10723	3	2	0	1	23	54.853230	0.000000	11.909548	1028
0	10723	13445	3	2	0	1	25	54.853230	0.000000	12.530990	1028
0	14237	14300	3	2	0	1	29	54.853230	0.000000	12.731153	1028
0	13445	13939	3	2	0	1	26	54.853230	0.000000	12.649166	1028
0	13939	14125	3	2	0	1	27	54.853230	0.000000	12.695364	1028
0	14125	14237	3	2	0	1	28	54.853230	0.000000	12.718019	1028
0	14300	15025	3	2	0	1	30	54.853230	0.000000	12.903664	1028
0	15025	15364	3	2	0	1	31	54.853230	0.000000	12.979410	1028
0	15364	15539	3	2	0	1	32	54.853230	0.000000	13.017225	1028
0	15539	17373	3	2	0	1	33	54.853230	0.000000	13.436007	1028
0	17373	18453	3	2	0	1	34	54.853230	0.000000	13.669218	1028
0	18453	20201	3	2	0	1	35	54.853230	0.000000	14.071173	1028
0	20201	22148	3	2	0	1	36	54.853230	0.000000	14.521039	1028
0	22148	22279	3	2	0	1	37	54.853230	0.000000	14.550292	1028
0	22279	24409	3	2	0	1	38	54.853230	0.000000	15.041213	1028
0	24409	25118	3	2	0	1	39	54.853230	0.000000	15.195958	1028
0	25118	27512	3	2	0	1	40	54.853230	0.000000	15.724924	1028
0	27512	28925	3	2	0	1	41	54.853230	0.000000	16.031084	1028
0	28925	29332	3	2	0	1	42	54.853230	0.000000	16.133173	1028
0	29332	30191	3	2	0	1	43	54.853230	0.000000	16.325277	1028
0	30191	33158	3	2	0	1	44	54.853230	0.000000	16.989138	1028
0	33158	33388	3	2	0	1	45	54.853230	0.000000	17.047083	1028
0	33388	34678	3	2	0	1	46	54.853230	0.000000	17.341995	1028
0	34678	35609	3	2	0	1	47	54.853230	0.000000	17.545521	1028
0	35609	36184	3	2	0	1	49	54.853230	0.000000	17.689762	1028
0	36184	37303	3	2	0	1	50	54.853230	0.000000	17.923046	1028
0	37303	38678	3	2	0	1	51	54.853230	0.000000	18.232777	1028
0	39472	39566	3	2	0	1	53	54.853230	0.000000	18.431496	1028
0	38678	39472	3	2	0	1	52	54.853230	0.000000	18.413038	1028
0	39566	40031	3	2	0	1	54	54.853230	0.000000	18.540426	1028
0	40031	40441	3	2	0	1	55	54.853230	0.000000	18.626381	1028
0	43158	43228	3	2	0	1	57	54.853230	0.000000	19.265572	1028
0	40441	43158	3	2	0	1	56	54.853230	0.000000	19.251406	1028
0	43228	44764	3	2	0	1	58	54.853230	0.000000	19.628925	1028
0	44764	46826	3	2	0	1	59	54.853230	0.000000	20.107870	1028
0	46826	47034	3	2	0	1	60	54.853230	0.000000	20.152256	1028
0	47034	47132	3	2	0	1	61	54.853230	0.000000	20.174850	1028
0	47132	47516	3	2	0	1	62	54.853230	0.000000	20.265530	1028
0	47516	55766	3	2	0	1	63	54.853230	0.000000	22.118353	1028
