Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.182233	6	5	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	6	0	0	0	0	0	0	0	0	0	0
2.247068	18	17	0	0	0.111111	0.000000	0.098765	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2	2	1	1	1	2	1	2	18	0	0	0	0	0	0	0	0	0	0
3.255665	61	62	2	0	0.295082	0.000000	0.273582	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7	7	1	1	1	7	1	7	61	0	0	0	0	0	0	0	0	0	0
4.263733	136	140	5	0	0.323529	0.000000	0.277682	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	14	14	1	1	1	14	1	14	136	0	0	0	0	0	0	0	0	0	0
5.266374	306	367	62	0	0.388889	0.000000	0.342230	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	24	24	1	1	1	24	1	25	306	0	0	0	0	0	0	0	0	0	0
6.268321	540	761	222	0	0.485185	0.000000	0.420151	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	47	47	1	1	1	49	1	57	540	0	0	0	0	0	0	0	0	0	0
7.268768	779	1439	661	0	0.550706	0.000000	0.514438	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	71	71	1	1	1	75	1	104	779	0	0	0	0	0	0	0	0	0	0
8.269322	917	2320	1404	0	0.631407	0.017448	0.575153	0.017144	1.110763e+00	0.000000e+00	6.908656e-01	0.000000e+00	93	93	2	1	1	99	2	175	901	16	0	0	0	0	0	0	0	0	0
9.269343	1023	5995	4973	0	1.709677	0.945259	0.782771	0.053700	6.997029e+00	0.000000e+00	2.129224e+00	0.000000e+00	152	152	3	1	1	197	3	484	57	965	1	0	0	0	0	0	0	0	0
10.269349	1026	43878	42853	0	4.709552	2.000000	4.112524	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	203	203	1	1	1	822	6	3493	0	0	1026	0	0	0	0	0	0	0	0
11.269350	1025	99802	98778	0	9.913171	2.000000	6.227575	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	234	234	1	1	1	1776	6	7875	0	0	1025	0	0	0	0	0	0	0	0
12.269353	1026	155366	154341	0	15.426901	2.000000	11.652052	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	216	216	1	1	1	2739	6	12297	0	0	1026	0	0	0	0	0	0	0	0
13.269363	1027	210452	209426	0	24.360273	2.000000	31.248985	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	224	224	1	1	1	3668	6	16625	0	0	1027	0	0	0	0	0	0	0	0
14.269393	1025	266494	265470	0	31.097561	2.000000	18.921213	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	190	190	1	1	1	4563	6	21048	0	0	1025	0	0	0	0	0	0	0	0
15.269405	1029	321981	320953	0	37.218658	2.000972	28.662622	0.000971	5.139215e+01	0.000000e+00	1.231446e+04	0.000000e+00	218	218	2	1	1	5533	6	25463	0	0	1028	1	0	0	0	0	0	0	0
16.269407	1026	377659	376634	0	40.603313	2.000975	46.005409	0.000974	4.910969e+01	0.000000e+00	3.381290e+04	0.000000e+00	208	208	2	1	1	6537	6	29930	0	0	1025	1	0	0	0	0	0	0	0
17.269411	1024	433222	432199	0	41.927734	2.000000	61.588459	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	217	217	1	1	1	7483	6	34341	0	0	1024	0	0	0	0	0	0	0	0
18.269421	1024	488849	487826	0	48.849609	2.000000	36.071198	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	224	224	1	1	1	8489	6	38835	0	0	1024	0	0	0	0	0	0	0	0
19.269423	1026	544362	543337	0	54.403507	2.000000	12.977536	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	232	232	1	1	1	9433	6	43248	0	0	1026	0	0	0	0	0	0	0	0
20.269428	1027	600098	599072	0	56.781891	2.000974	6.614547	0.000973	5.439409e+01	0.000000e+00	2.162946e+02	0.000000e+00	223	223	2	1	1	10316	6	47532	0	0	1026	1	0	0	0	0	0	0	0
21.269455	1026	655914	654889	0	61.992203	2.000000	12.596426	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	224	224	1	1	1	11285	7	52010	0	0	1026	0	0	0	0	0	0	0	0
22.269459	1026	711644	710619	0	66.356728	2.000000	12.381521	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	243	243	1	1	1	12230	7	56456	0	0	1026	0	0	0	0	0	0	0	0
23.269461	1024	767195	766172	0	71.128906	2.000000	18.698273	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	232	232	1	1	1	13138	7	60835	0	0	1024	0	0	0	0	0	0	0	0
24.269487	1025	823542	822518	0	73.657562	2.000000	19.618338	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	239	239	1	1	1	14135	7	65353	0	0	1025	0	0	0	0	0	0	0	0
25.269501	1025	879189	878165	0	76.427315	2.000000	6.008620	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	207	207	1	1	1	15114	7	69694	0	0	1025	0	0	0	0	0	0	0	0
26.269505	1025	935002	933978	0	80.383415	2.000000	6.023724	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	208	208	1	1	1	16086	7	74151	0	0	1025	0	0	0	0	0	0	0	0
27.269510	1027	989426	988400	0	82.764359	2.000000	5.529678	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	216	216	1	1	1	17010	7	78508	0	0	1027	0	0	0	0	0	0	0	0
28.269522	1025	1045456	1044432	0	86.551216	2.000000	13.942986	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	233	233	1	1	1	17918	7	82911	0	0	1025	0	0	0	0	0	0	0	0
29.269526	1025	1101072	1100048	0	90.673172	2.000000	33.443439	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	238	238	1	1	1	18857	7	87373	0	0	1025	0	0	0	0	0	0	0	0
30.269541	1025	1157134	1156110	0	95.474144	2.000000	64.169296	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	228	228	1	1	1	19852	7	91746	0	0	1025	0	0	0	0	0	0	0	0
31.269571	1025	1212996	1211972	0	100.622437	2.000000	60.112072	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	234	234	1	1	1	20876	7	96324	0	0	1025	0	0	0	0	0	0	0	0
32.269573	1025	1268165	1267141	0	107.732681	2.000000	65.530472	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	211	211	1	1	1	21805	7	100689	0	0	1025	0	0	0	0	0	0	0	0
33.269581	1024	1323650	1322627	0	108.806641	2.000000	103.603294	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	219	219	1	1	1	22741	7	105038	0	0	1024	0	0	0	0	0	0	0	0
34.269585	1025	1379051	1378027	0	120.763901	2.000976	71.573540	0.000975	5.341763e+01	0.000000e+00	2.110397e+03	0.000000e+00	218	218	2	1	1	23705	7	109477	0	0	1024	1	0	0	0	0	0	0	0
35.269585	1025	1435073	1434049	0	121.743416	2.000000	108.824898	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	226	226	1	1	1	24678	7	113909	0	0	1025	0	0	0	0	0	0	0	0
36.269592	1026	1489938	1488913	0	126.569199	2.000000	99.629181	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	221	221	1	1	1	25618	7	118222	0	0	1026	0	0	0	0	0	0	0	0
37.269608	1028	1546214	1545187	0	136.393967	2.000000	81.732903	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	212	212	1	1	1	26526	7	122582	0	0	1028	0	0	0	0	0	0	0	0
38.269608	1025	1601960	1600936	0	138.334641	2.000000	89.859734	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	210	210	1	1	1	27471	7	126980	0	0	1025	0	0	0	0	0	0	0	0
39.269615	1027	1657650	1656624	0	142.693283	2.000000	63.332409	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	221	221	1	1	1	28435	7	131353	0	0	1027	0	0	0	0	0	0	0	0
40.269623	1028	1713203	1712176	0	148.746109	2.000000	43.848946	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	224	224	1	1	1	29388	7	135737	0	0	1028	0	0	0	0	0	0	0	0
41.269634	1025	1767213	1766189	0	153.312195	2.000976	38.033234	0.000975	5.319522e+01	0.000000e+00	2.814957e+03	0.000000e+00	224	224	2	1	1	30271	7	139994	0	0	1024	1	0	0	0	0	0	0	0
42.269642	1025	1823103	1822079	0	158.023422	2.001951	49.823784	0.001947	5.462764e+01	0.000000e+00	2.809067e+01	0.000000e+00	212	212	3	1	1	31166	7	144326	0	0	1023	2	0	0	0	0	0	0	0
43.269657	1025	1878518	1877494	0	165.213654	2.000000	36.720177	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	228	228	1	1	1	32139	7	148793	0	0	1025	0	0	0	0	0	0	0	0
44.269661	1025	1934275	1933251	0	170.132690	2.000000	38.111172	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	225	225	1	1	1	33060	7	153179	0	0	1025	0	0	0	0	0	0	0	0
45.269691	1025	1990095	1989071	0	171.801956	2.000000	44.381245	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	207	207	1	1	1	34000	7	157583	0	0	1025	0	0	0	0	0	0	0	0
46.269703	1026	2046039	2045014	0	175.654968	2.000000	26.627548	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	232	232	1	1	1	35004	7	162062	0	0	1026	0	0	0	0	0	0	0	0
47.269714	1025	2101831	2100807	0	181.351227	2.000000	43.654205	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	221	221	1	1	1	35979	7	166459	0	0	1025	0	0	0	0	0	0	0	0
48.269764	1025	2157892	2156868	0	183.350250	2.000000	4.816839	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	232	232	1	1	1	36966	7	170873	0	0	1025	0	0	0	0	0	0	0	0
49.269772	1024	2213473	2212450	0	187.698242	2.000000	21.218517	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	218	218	1	1	1	37928	7	175316	0	0	1024	0	0	0	0	0	0	0	0
50.269775	1024	2269082	2268059	0	193.054688	2.000000	12.666920	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	203	203	1	1	1	38903	7	179749	0	0	1024	0	0	0	0	0	0	0	0
51.269775	1027	2325284	2324258	0	197.292114	2.000000	13.501817	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	217	217	1	1	1	39848	7	184210	0	0	1027	0	0	0	0	0	0	0	0
52.269775	1025	2381223	2380199	0	202.248779	2.000000	26.374207	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	221	221	1	1	1	40818	7	188679	0	0	1025	0	0	0	0	0	0	0	0
53.269787	1028	2436903	2435876	0	208.466919	2.000000	37.639896	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	213	213	1	1	1	41783	7	193062	0	0	1028	0	0	0	0	0	0	0	0
54.269794	1025	2492883	2491859	0	218.238052	2.000000	15.404785	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	247	247	1	1	1	42755	7	197487	0	0	1025	0	0	0	0	0	0	0	0
55.269798	1024	2548510	2547487	0	222.551758	2.000000	8.296139	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	214	214	1	1	1	43654	7	201813	0	0	1024	0	0	0	0	0	0	0	0
56.269802	1025	2604232	2603208	0	226.325851	2.000000	15.749428	0.000000	5.485323e+01	0.000000e+00	0.000000e+00	0.000000e+00	216	216	1	1	1	44628	7	206247	0	0	1025	0	0	0	0	0	0	0	0
