NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.000000	0.000000	0	0	0
6	1	-1	-1	1.182233	0	0	0	6	1.000000	0.000000	0.000000	0	0	0
18	1	-1	-1	2.247068	0	0	0	18	1.000000	0.000000	0.000000	0	0	0
61	1	-1	-1	3.255665	0	0	0	61	1.000000	0.000000	0.000000	0	0	0
136	1	-1	-1	4.263733	0	0	0	136	1.000000	0.000000	0.000000	0	0	0
306	1	-1	-1	5.266374	0	0	0	306	1.000000	0.000000	0.000000	0	0	0
540	1	-1	-1	6.268321	0	0	0	540	1.000000	0.000000	0.000000	0	0	0
779	1	-1	-1	7.268768	0	0	0	779	1.000000	0.000000	0.000000	0	0	0
917	1	-1	-1	8.269322	0	0	0	901	1.000000	0.000000	0.000000	0	0	0
917	1	-1	-1	8.269322	1	1	0	16	7.348100	0.000000	7.742762	1	0	0
1023	1	-1	-1	9.269343	0	0	0	57	1.000000	0.000000	0.000000	0	0	0
1023	1	-1	-1	9.269343	1	1	0	965	7.348100	0.000000	7.742762	1	0	0
1026	1	-1	-1	10.269349	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1026	1	-1	-1	10.269349	1	1	0	0	7.348100	0.000000	7.742762	1	0	0
1026	1	-1	-1	10.269349	2	2	1	0	10.044645	0.000000	9.132387	2	0	0
1026	1	-1	-1	10.269349	3	3	1	1026	54.853230	0.000000	9.433782	2	0	0
1025	1	-1	-1	11.269350	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	11.269350	1	1	0	0	7.348100	0.000000	7.742762	1	0	0
1025	1	-1	-1	11.269350	2	2	1	0	10.044645	0.000000	9.132387	2	0	0
1025	1	-1	-1	11.269350	3	3	1	1025	54.853230	0.000000	9.433782	2	0	0
1026	1	-1	-1	12.269353	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1026	1	-1	-1	12.269353	1	1	0	0	7.348100	0.000000	7.742762	1	0	0
1026	1	-1	-1	12.269353	2	2	1	0	10.044645	0.000000	9.132387	2	0	0
1026	1	-1	-1	12.269353	3	3	1	1026	54.853230	0.000000	9.433782	2	0	0
1027	1	-1	-1	13.269363	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1027	1	-1	-1	13.269363	1	1	0	0	7.348100	0.000000	7.742762	1	0	0
1027	1	-1	-1	13.269363	2	2	1	0	10.044645	0.000000	9.132387	2	0	0
1027	1	-1	-1	13.269363	3	3	1	1027	54.853230	0.000000	9.433782	2	0	0
1025	1	-1	-1	14.269393	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	14.269393	1	1	0	0	7.348100	0.000000	7.742762	1	0	0
1025	1	-1	-1	14.269393	2	2	1	0	10.044645	0.000000	9.132387	2	0	0
1025	1	-1	-1	14.269393	3	3	1	1025	54.853230	0.000000	9.433782	2	0	0
