Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.067269	4	3	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	4	0	0	0	0	0	0	0	0	0	0
2.088418	10	9	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0
3.111567	18	17	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	18	0	0	0	0	0	0	0	0	0	0
4.135440	41	43	3	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	41	0	0	0	0	0	0	0	0	0	0
5.158451	102	114	13	0	0.147059	0.000000	0.145040	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9	9	1	1	1	9	1	9	102	0	0	0	0	0	0	0	0	0	0
6.160858	235	273	39	0	0.246809	0.000000	0.219937	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	24	24	1	1	1	24	1	24	235	0	0	0	0	0	0	0	0	0	0
7.162563	448	586	139	0	0.270089	0.000000	0.237320	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	39	39	1	1	1	39	1	43	448	0	0	0	0	0	0	0	0	0	0
8.164144	694	1188	495	0	0.325648	0.000000	0.303175	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	68	68	1	1	1	69	1	97	694	0	0	0	0	0	0	0	0	0	0
9.164202	883	1961	1079	0	0.421291	0.000000	0.409150	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	96	96	1	1	1	100	1	159	883	0	0	0	0	0	0	0	0	0	0
10.166478	965	2863	1899	0	0.478756	0.006218	0.450585	0.006179	1.010543e+00	0.000000e+00	1.776465e-02	0.000000e+00	116	116	2	1	1	123	2	234	959	6	0	0	0	0	0	0	0	0	0
11.167671	1010	3889	2880	0	0.543564	0.033663	0.519390	0.032530	1.057079e+00	0.000000e+00	9.352497e-02	0.000000e+00	128	128	2	1	1	141	2	310	976	34	0	0	0	0	0	0	0	0	0
12.167711	1020	5027	4008	0	0.561765	0.175490	0.534421	0.144693	1.297559e+00	0.000000e+00	4.159970e-01	0.000000e+00	133	133	2	1	1	161	2	392	841	179	0	0	0	0	0	0	0	0	0
13.168845	1024	6673	5650	0	0.642578	0.605469	0.698421	0.238876	2.026627e+00	0.000000e+00	6.867748e-01	0.000000e+00	151	151	2	1	1	199	2	525	404	620	0	0	0	0	0	0	0	0	0
14.169003	1025	11459	10435	0	1.666341	1.892683	1.935501	0.117264	1.527416e+01	0.000000e+00	1.745353e+01	0.000000e+00	161	161	3	1	1	284	4	922	11	88	926	0	0	0	0	0	0	0	0
15.169005	1024	28191	27168	0	3.067383	2.000000	2.816752	0.000000	1.663909e+01	0.000000e+00	0.000000e+00	0.000000e+00	201	201	1	1	1	573	4	2215	0	0	1024	0	0	0	0	0	0	0	0
16.169132	1025	45197	44173	0	4.508293	2.000000	4.866509	0.000000	1.663909e+01	0.000000e+00	0.000000e+00	0.000000e+00	231	231	1	1	1	877	5	3611	0	0	1025	0	0	0	0	0	0	0	0
17.169136	1024	62066	61043	0	5.675781	2.000000	6.658552	0.000000	1.663909e+01	0.000000e+00	0.000000e+00	0.000000e+00	203	203	1	1	1	1151	5	4852	0	0	1024	0	0	0	0	0	0	0	0
18.169136	1025	79192	78168	0	6.633171	2.000000	8.226413	0.000000	1.663909e+01	0.000000e+00	0.000000e+00	0.000000e+00	221	221	1	1	1	1443	5	6215	0	0	1025	0	0	0	0	0	0	0	0
19.169241	1025	96072	95048	0	8.129756	2.000000	8.093406	0.000000	1.663909e+01	0.000000e+00	0.000000e+00	0.000000e+00	226	226	1	1	1	1759	5	7528	0	0	1025	0	0	0	0	0	0	0	0
20.169292	1025	113137	112113	0	9.058537	2.000000	8.359503	0.000000	1.663909e+01	0.000000e+00	0.000000e+00	0.000000e+00	221	221	1	1	1	2057	5	8883	0	0	1025	0	0	0	0	0	0	0	0
