NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1025	1	-1	-1	31.169750	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	31.169750	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	31.169750	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	32.169857	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	32.169857	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	32.169857	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	33.169861	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	33.169861	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	33.169861	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	34.169888	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	34.169888	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	34.169888	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	35.169956	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	35.169956	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	35.169956	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	36.169987	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	36.169987	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	36.169987	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	37.169994	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	37.169994	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	37.169994	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	38.170082	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	38.170082	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	38.170082	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	39.170147	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	39.170147	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	39.170147	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	40.170147	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	40.170147	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	40.170147	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	41.170208	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	41.170208	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	41.170208	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	42.170212	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	42.170212	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	42.170212	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	43.170250	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	43.170250	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	43.170250	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	44.170303	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	44.170303	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	44.170303	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	45.170307	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	45.170307	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	45.170307	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	46.170372	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	46.170372	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	46.170372	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	47.170387	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	47.170387	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	47.170387	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	48.170403	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	48.170403	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	48.170403	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	49.170433	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	49.170433	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	49.170433	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	50.170452	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
