Generation	Size	Frequency	Count
90.172424	10	0.009756	1
90.172424	12	0.011707	6
90.172424	48	0.046829	1
90.172424	19	0.018537	1
90.172424	50	0.048780	1
90.172424	14	0.013659	5
90.172424	11	0.010732	3
90.172424	13	0.012683	3
90.172424	43	0.041951	1
90.172424	21	0.020488	1
90.172424	20	0.019512	1
90.172424	16	0.015610	1
90.172424	29	0.028293	1
90.172424	24	0.023415	1
100.172653	1	0.000976	82
100.172653	2	0.001951	32
100.172653	3	0.002927	29
100.172653	4	0.003902	25
100.172653	5	0.004878	21
100.172653	6	0.005854	7
100.172653	7	0.006829	11
100.172653	8	0.007805	8
100.172653	9	0.008780	3
100.172653	10	0.009756	4
100.172653	35	0.034146	1
100.172653	12	0.011707	4
100.172653	14	0.013659	1
100.172653	37	0.036098	1
100.172653	16	0.015610	2
100.172653	13	0.012683	2
100.172653	29	0.028293	1
100.172653	22	0.021463	1
100.172653	18	0.017561	2
100.172653	15	0.014634	2
100.172653	11	0.010732	1
100.172653	17	0.016585	1
110.173058	1	0.000976	74
110.173058	2	0.001951	39
110.173058	3	0.002927	23
110.173058	4	0.003902	19
110.173058	5	0.004878	11
110.173058	6	0.005854	7
110.173058	7	0.006829	7
110.173058	8	0.007805	2
110.173058	9	0.008780	4
110.173058	10	0.009756	5
110.173058	17	0.016585	2
110.173058	22	0.021463	1
110.173058	35	0.034146	1
110.173058	12	0.011707	3
110.173058	24	0.023415	1
110.173058	19	0.018537	2
110.173058	14	0.013659	2
110.173058	15	0.014634	4
110.173058	11	0.010732	4
110.173058	31	0.030244	1
110.173058	16	0.015610	1
110.173058	28	0.027317	1
110.173058	25	0.024390	1
110.173058	18	0.017561	2
110.173058	23	0.022439	1
120.173584	1	0.000976	78
120.173584	2	0.001951	43
120.173584	3	0.002927	23
120.173584	4	0.003902	17
120.173584	5	0.004878	9
120.173584	6	0.005854	5
120.173584	7	0.006829	13
120.173584	8	0.007805	3
120.173584	9	0.008780	7
120.173584	10	0.009756	5
120.173584	53	0.051707	1
120.173584	22	0.021463	1
120.173584	31	0.030244	2
120.173584	13	0.012683	3
120.173584	28	0.027317	1
120.173584	20	0.019512	1
120.173584	35	0.034146	2
120.173584	33	0.032195	1
120.173584	18	0.017561	1
120.173584	16	0.015610	2
120.173584	15	0.014634	2
120.173584	14	0.013659	1
130.174362	1	0.000976	78
130.174362	2	0.001951	42
130.174362	3	0.002927	27
130.174362	4	0.003902	17
130.174362	5	0.004878	7
130.174362	6	0.005854	10
130.174362	7	0.006829	6
