Generation	Size	Frequency	Count
180.176620	1	0.000977	0
180.176620	2	0.001953	0
180.176620	3	0.002930	0
180.176620	4	0.003906	0
180.176620	5	0.004883	0
180.176620	6	0.005859	0
180.176620	7	0.006836	0
180.176620	8	0.007812	0
180.176620	9	0.008789	0
180.176620	10	0.009766	0
180.176620	1024	1.000000	3
190.177475	1	0.000976	0
190.177475	2	0.001951	0
190.177475	3	0.002927	0
190.177475	4	0.003902	0
190.177475	5	0.004878	0
190.177475	6	0.005854	0
190.177475	7	0.006829	0
190.177475	8	0.007805	0
190.177475	9	0.008780	0
190.177475	10	0.009756	0
190.177475	1025	1.000000	3
200.178177	1	0.000976	1
200.178177	2	0.001951	0
200.178177	3	0.002927	0
200.178177	4	0.003902	0
200.178177	5	0.004878	0
200.178177	6	0.005854	0
200.178177	7	0.006829	0
200.178177	8	0.007805	0
200.178177	9	0.008780	0
200.178177	10	0.009756	0
200.178177	1025	1.000000	3
210.178635	1	0.000976	0
210.178635	2	0.001951	0
210.178635	3	0.002927	0
210.178635	4	0.003902	0
210.178635	5	0.004878	0
210.178635	6	0.005854	0
210.178635	7	0.006829	0
210.178635	8	0.007805	0
210.178635	9	0.008780	0
210.178635	10	0.009756	0
210.178635	1025	1.000000	3
220.179474	1	0.000976	0
220.179474	2	0.001951	0
220.179474	3	0.002927	0
220.179474	4	0.003902	0
220.179474	5	0.004878	0
220.179474	6	0.005854	0
220.179474	7	0.006829	0
220.179474	8	0.007805	0
220.179474	9	0.008780	0
220.179474	10	0.009756	0
220.179474	1025	1.000000	3
230.180405	1	0.000976	0
230.180405	2	0.001951	0
230.180405	3	0.002927	0
230.180405	4	0.003902	0
230.180405	5	0.004878	0
230.180405	6	0.005854	0
230.180405	7	0.006829	0
230.180405	8	0.007805	0
230.180405	9	0.008780	0
230.180405	10	0.009756	0
230.180405	1025	1.000000	3
240.180786	1	0.000976	0
240.180786	2	0.001951	0
240.180786	3	0.002927	0
240.180786	4	0.003902	0
240.180786	5	0.004878	0
240.180786	6	0.005854	0
240.180786	7	0.006829	0
240.180786	8	0.007805	0
240.180786	9	0.008780	0
240.180786	10	0.009756	0
240.180786	1025	1.000000	3
250.181259	1	0.000976	0
250.181259	2	0.001951	0
250.181259	3	0.002927	0
250.181259	4	0.003902	0
250.181259	5	0.004878	0
250.181259	6	0.005854	0
250.181259	7	0.006829	0
250.181259	8	0.007805	0
250.181259	9	0.008780	0
250.181259	10	0.009756	0
250.181259	1025	1.000000	3
260.181671	1	0.000977	0
260.181671	2	0.001953	0
260.181671	3	0.002930	0
260.181671	4	0.003906	0
260.181671	5	0.004883	0
260.181671	6	0.005859	0
260.181671	7	0.006836	0
260.181671	8	0.007812	0
260.181671	9	0.008789	0
260.181671	10	0.009766	0
260.181671	1024	1.000000	3
270.182373	1	0.000976	0
270.182373	2	0.001951	0
270.182373	3	0.002927	0
270.182373	4	0.003902	0
270.182373	5	0.004878	0
270.182373	6	0.005854	0
270.182373	7	0.006829	0
270.182373	8	0.007805	0
270.182373	9	0.008780	0
270.182373	10	0.009756	0
270.182373	1025	1.000000	3
280.182648	1	0.000976	0
280.182648	2	0.001951	0
280.182648	3	0.002927	0
280.182648	4	0.003902	0
280.182648	5	0.004878	0
280.182648	6	0.005854	0
280.182648	7	0.006829	0
280.182648	8	0.007805	0
280.182648	9	0.008780	0
280.182648	10	0.009756	0
280.182648	1025	1.000000	3
290.183228	1	0.000975	0
290.183228	2	0.001949	0
290.183228	3	0.002924	0
290.183228	4	0.003899	0
290.183228	5	0.004873	0
290.183228	6	0.005848	0
290.183228	7	0.006823	0
290.183228	8	0.007797	0
290.183228	9	0.008772	0
290.183228	10	0.009747	0
290.183228	1026	1.000000	3
300.183807	1	0.000976	0
300.183807	2	0.001951	0
300.183807	3	0.002927	0
300.183807	4	0.003902	0
300.183807	5	0.004878	0
300.183807	6	0.005854	0
300.183807	7	0.006829	0
300.183807	8	0.007805	0
300.183807	9	0.008780	0
300.183807	10	0.009756	0
300.183807	1025	1.000000	3
310.184143	1	0.000976	0
310.184143	2	0.001951	0
310.184143	3	0.002927	0
310.184143	4	0.003902	0
310.184143	5	0.004878	0
310.184143	6	0.005854	0
310.184143	7	0.006829	0
310.184143	8	0.007805	0
310.184143	9	0.008780	0
310.184143	10	0.009756	0
310.184143	1025	1.000000	3
320.184509	1	0.000976	0
320.184509	2	0.001951	0
320.184509	3	0.002927	0
320.184509	4	0.003902	0
320.184509	5	0.004878	0
320.184509	6	0.005854	0
320.184509	7	0.006829	0
320.184509	8	0.007805	0
320.184509	9	0.008780	0
320.184509	10	0.009756	0
320.184509	1025	1.000000	3
330.184753	1	0.000976	0
330.184753	2	0.001951	0
330.184753	3	0.002927	0
330.184753	4	0.003902	0
330.184753	5	0.004878	0
330.184753	6	0.005854	0
330.184753	7	0.006829	0
330.184753	8	0.007805	0
330.184753	9	0.008780	0
330.184753	10	0.009756	0
330.184753	1025	1.000000	3
340.185547	1	0.000976	0
340.185547	2	0.001951	0
340.185547	3	0.002927	0
340.185547	4	0.003902	0
340.185547	5	0.004878	0
340.185547	6	0.005854	0
340.185547	7	0.006829	0
340.185547	8	0.007805	0
340.185547	9	0.008780	0
340.185547	10	0.009756	0
340.185547	1025	1.000000	3
350.186493	1	0.000976	0
350.186493	2	0.001951	0
350.186493	3	0.002927	0
350.186493	4	0.003902	0
350.186493	5	0.004878	0
350.186493	6	0.005854	0
350.186493	7	0.006829	0
350.186493	8	0.007805	0
350.186493	9	0.008780	0
350.186493	10	0.009756	0
350.186493	1025	1.000000	3
360.187073	1	0.000976	0
360.187073	2	0.001951	0
360.187073	3	0.002927	0
360.187073	4	0.003902	0
360.187073	5	0.004878	0
360.187073	6	0.005854	0
360.187073	7	0.006829	0
360.187073	8	0.007805	0
360.187073	9	0.008780	0
360.187073	10	0.009756	0
360.187073	1025	1.000000	3
370.187958	1	0.000976	0
370.187958	2	0.001951	0
370.187958	3	0.002927	0
370.187958	4	0.003902	0
370.187958	5	0.004878	0
370.187958	6	0.005854	0
370.187958	7	0.006829	0
370.187958	8	0.007805	0
370.187958	9	0.008780	0
370.187958	10	0.009756	0
370.187958	1025	1.000000	3
380.188324	1	0.000977	0
380.188324	2	0.001953	0
380.188324	3	0.002930	0
380.188324	4	0.003906	0
380.188324	5	0.004883	0
380.188324	6	0.005859	0
380.188324	7	0.006836	0
380.188324	8	0.007812	0
380.188324	9	0.008789	0
380.188324	10	0.009766	0
380.188324	1024	1.000000	3
390.188812	1	0.000976	0
390.188812	2	0.001951	0
390.188812	3	0.002927	0
390.188812	4	0.003902	0
390.188812	5	0.004878	0
390.188812	6	0.005854	0
390.188812	7	0.006829	0
390.188812	8	0.007805	0
390.188812	9	0.008780	0
390.188812	10	0.009756	0
390.188812	1025	1.000000	3
400.189819	1	0.000976	0
400.189819	2	0.001951	0
400.189819	3	0.002927	0
400.189819	4	0.003902	0
400.189819	5	0.004878	0
400.189819	6	0.005854	0
400.189819	7	0.006829	0
400.189819	8	0.007805	0
400.189819	9	0.008780	0
400.189819	10	0.009756	0
400.189819	1025	1.000000	3
410.190308	1	0.000976	0
410.190308	2	0.001951	0
410.190308	3	0.002927	0
410.190308	4	0.003902	0
410.190308	5	0.004878	0
410.190308	6	0.005854	0
410.190308	7	0.006829	0
410.190308	8	0.007805	0
410.190308	9	0.008780	0
410.190308	10	0.009756	0
410.190308	1025	1.000000	3
420.190582	1	0.000976	0
420.190582	2	0.001951	0
420.190582	3	0.002927	0
420.190582	4	0.003902	0
420.190582	5	0.004878	0
420.190582	6	0.005854	0
420.190582	7	0.006829	0
420.190582	8	0.007805	0
420.190582	9	0.008780	0
420.190582	10	0.009756	0
420.190582	1025	1.000000	3
430.191132	1	0.000976	0
430.191132	2	0.001951	0
430.191132	3	0.002927	0
430.191132	4	0.003902	0
430.191132	5	0.004878	0
430.191132	6	0.005854	0
430.191132	7	0.006829	0
430.191132	8	0.007805	0
430.191132	9	0.008780	0
430.191132	10	0.009756	0
430.191132	1025	1.000000	3
440.191681	1	0.000976	1
440.191681	2	0.001951	0
440.191681	3	0.002927	0
440.191681	4	0.003902	0
440.191681	5	0.004878	0
440.191681	6	0.005854	0
440.191681	7	0.006829	0
440.191681	8	0.007805	0
440.191681	9	0.008780	0
440.191681	10	0.009756	0
440.191681	1025	1.000000	3
450.192352	1	0.000976	0
450.192352	2	0.001951	0
450.192352	3	0.002927	0
450.192352	4	0.003902	0
450.192352	5	0.004878	0
450.192352	6	0.005854	0
450.192352	7	0.006829	0
450.192352	8	0.007805	0
450.192352	9	0.008780	0
450.192352	10	0.009756	0
450.192352	1025	1.000000	3
460.192566	1	0.000976	0
460.192566	2	0.001951	0
460.192566	3	0.002927	0
460.192566	4	0.003902	0
460.192566	5	0.004878	0
460.192566	6	0.005854	0
460.192566	7	0.006829	0
460.192566	8	0.007805	0
460.192566	9	0.008780	0
460.192566	10	0.009756	0
460.192566	1025	1.000000	3
470.192963	1	0.000976	0
470.192963	2	0.001951	0
470.192963	3	0.002927	0
470.192963	4	0.003902	0
470.192963	5	0.004878	0
470.192963	6	0.005854	0
470.192963	7	0.006829	0
470.192963	8	0.007805	0
470.192963	9	0.008780	0
470.192963	10	0.009756	0
470.192963	1025	1.000000	3
480.193604	1	0.000976	0
