NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.000000	0.000000	0	0	0
2	1	-1	-1	3.977875	0	0	0	2	1.000000	0.000000	0.000000	0	0	0
7	1	-1	-1	5.023203	0	0	0	7	1.000000	0.000000	0.000000	0	0	0
24	1	-1	-1	6.109480	0	0	0	24	1.000000	0.000000	0.000000	0	0	0
61	1	-1	-1	7.113477	0	0	0	61	1.000000	0.000000	0.000000	0	0	0
123	1	-1	-1	8.121114	0	0	0	123	1.000000	0.000000	0.000000	0	0	0
292	1	-1	-1	9.124323	0	0	0	292	1.000000	0.000000	0.000000	0	0	0
522	1	-1	-1	10.127996	0	0	0	522	1.000000	0.000000	0.000000	0	0	0
749	1	-1	-1	11.130653	0	0	0	749	1.000000	0.000000	0.000000	0	0	0
888	1	-1	-1	12.130777	0	0	0	888	1.000000	0.000000	0.000000	0	0	0
966	1	-1	-1	13.133274	0	0	0	966	1.000000	0.000000	0.000000	0	0	0
1003	1	-1	-1	14.134527	0	0	0	1003	1.000000	0.000000	0.000000	0	0	0
1015	1	-1	-1	15.135096	0	0	0	1015	1.000000	0.000000	0.000000	0	0	0
1023	1	-1	-1	16.136185	0	0	0	1023	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	17.137247	0	0	0	1024	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	18.138163	0	0	0	1025	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	19.139429	0	0	0	1025	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	20.139696	0	0	0	981	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	20.139696	1	1	0	44	9.170753	0.000000	19.767834	1	0	0
1025	1	-1	-1	21.139801	0	0	0	4	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	21.139801	1	1	0	1019	9.170753	0.000000	19.767834	1	0	0
1025	1	-1	-1	22.140085	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	22.140085	1	1	0	1022	9.170753	0.000000	19.767834	1	0	0
1024	1	-1	-1	23.140091	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	23.140091	1	1	0	798	9.170753	0.000000	19.767834	1	0	0
1024	1	-1	-1	23.140091	3	3	1	226	11.297130	0.000000	20.990223	2	0	0
1025	1	-1	-1	24.140379	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	24.140379	1	1	0	388	9.170753	0.000000	19.767834	1	0	0
