Generation	X	Y	Population	NormalCells	DeathRate	Diversity	DriverDiversity
0.000000	0	0	1	1023	0.000000	0.000000	0.000000
10.127996	0	0	522	503	100.000000	0.000000	0.000000
20.139696	0	0	1025	0	100.000000	0.000000	0.000000
30.141148	0	0	1024	0	0.000000	0.000000	0.000000
40.141930	0	0	1025	0	100.000000	0.000000	0.000000
50.142521	0	0	1025	0	100.000000	0.000000	0.000000
60.143284	0	0	1025	0	100.000000	0.000000	0.000000
70.144218	0	0	1025	0	100.000000	0.000000	0.000000
80.145157	0	0	1025	0	100.000000	0.000000	0.000000
90.145630	0	0	1025	0	100.000000	0.000000	0.000000
100.147385	0	0	1025	0	100.000000	0.000000	0.000000
110.148087	0	0	1025	0	100.000000	0.000000	0.000000
120.148918	0	0	1025	0	100.000000	0.000000	0.000000
130.149857	0	0	1025	0	100.000000	0.000000	0.000000
140.150726	0	0	1025	0	100.000000	0.000000	0.000000
150.151672	0	0	1025	0	100.000000	0.000000	0.000000
160.152390	0	0	1025	0	100.000000	0.000000	0.000000
170.152771	0	0	1025	0	100.000000	0.000000	0.000000
180.153458	0	0	1025	0	100.000000	0.000000	0.000000
190.153992	0	0	1025	0	100.000000	0.000000	0.000000
200.154831	0	0	1025	0	100.000000	0.000000	0.000000
210.155579	0	0	1025	0	100.000000	0.000000	0.000000
220.156525	0	0	1025	0	100.000000	0.000000	0.000000
230.157806	0	0	1025	0	100.000000	0.000000	0.000000
240.158661	0	0	1025	0	100.000000	0.000000	0.000000
250.159760	0	0	1025	0	100.000000	0.000000	0.000000
260.160553	0	0	1025	0	100.000000	0.000000	0.000000
270.161530	0	0	1025	0	100.000000	0.000000	0.000000
280.162689	0	0	1025	0	100.000000	0.000000	0.000000
290.163635	0	0	1025	0	100.000000	0.000000	0.000000
300.164520	0	0	1024	0	0.000000	0.000000	0.000000
310.165100	0	0	1025	0	100.000000	0.000000	0.000000
320.165649	0	0	1025	0	100.000000	0.000000	0.000000
330.166901	0	0	1025	0	100.000000	0.000000	0.000000
340.167480	0	0	1025	0	100.000000	0.000000	0.000000
350.168274	0	0	1025	0	100.000000	0.000000	0.000000
360.169250	0	0	1025	0	100.000000	0.000000	0.000000
370.169708	0	0	1024	0	0.000000	0.000000	0.000000
380.170074	0	0	1025	0	100.000000	0.000000	0.000000
390.171082	0	0	1025	0	100.000000	0.000000	0.000000
400.171753	0	0	1025	0	100.000000	0.000000	0.000000
410.172516	0	0	1025	0	100.000000	0.000000	0.000000
420.173126	0	0	1025	0	100.000000	0.000000	0.000000
430.173401	0	0	1024	0	0.000000	0.000000	0.000000
440.174347	0	0	1025	0	100.000000	0.000000	0.000000
450.174835	0	0	1025	0	100.000000	0.000000	0.000000
460.175659	0	0	1025	0	100.000000	0.000000	0.000000
470.176636	0	0	1025	0	100.000000	0.000000	0.000000
480.177307	0	0	1025	0	100.000000	0.000000	0.000000
490.178162	0	0	1025	0	100.000000	0.000000	0.000000
500.179108	0	0	1027	0	100.000000	0.000000	0.000000
510.180298	0	0	1025	0	100.000000	0.000000	0.000000
520.181213	0	0	1025	0	100.000000	0.000000	0.000000
530.182007	0	0	1025	0	100.000000	0.000000	0.000000
540.182495	0	0	1025	0	100.000000	0.000000	0.000000
550.183167	0	0	1025	0	100.000000	0.000000	0.000000
560.183594	0	0	1025	0	100.000000	0.000000	0.000000
570.183838	0	0	1024	0	0.000000	0.000000	0.000000
580.184509	0	0	1025	0	100.000000	0.000000	0.000000
590.185059	0	0	1025	0	100.000000	0.000000	0.000000
600.185547	0	0	1025	0	100.000000	0.000000	0.000000
610.186829	0	0	1025	0	100.000000	0.000000	0.000000
620.187622	0	0	1025	0	100.000000	0.000000	0.000000
630.188110	0	0	1025	0	100.000000	0.000000	0.000000
640.188721	0	0	1025	0	100.000000	0.000000	0.000000
650.189270	0	0	1025	0	100.000000	0.000000	0.000000
660.190308	0	0	1025	0	100.000000	0.000000	0.000000
670.191284	0	0	1025	0	100.000000	0.000000	0.000000
680.191772	0	0	1024	0	0.000000	0.000000	0.000000
690.192749	0	0	1025	0	100.000000	0.000000	0.000000
700.193420	0	0	1025	0	100.000000	0.000000	0.000000
710.194031	0	0	1024	0	0.000000	0.000000	0.000000
720.195251	0	0	1025	0	100.000000	0.000000	0.000000
