Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.127996	1	0.001916	0
10.127996	2	0.003831	0
10.127996	3	0.005747	0
10.127996	4	0.007663	0
10.127996	5	0.009579	0
10.127996	6	0.011494	0
10.127996	7	0.013410	0
10.127996	8	0.015326	0
10.127996	9	0.017241	0
10.127996	10	0.019157	0
10.127996	522	1.000000	1
20.139696	1	0.000976	0
20.139696	2	0.001951	0
20.139696	3	0.002927	0
20.139696	4	0.003902	0
20.139696	5	0.004878	0
20.139696	6	0.005854	0
20.139696	7	0.006829	0
20.139696	8	0.007805	0
20.139696	9	0.008780	0
20.139696	10	0.009756	0
20.139696	981	0.957073	1
20.139696	44	0.042927	1
30.141148	1	0.000977	0
30.141148	2	0.001953	0
30.141148	3	0.002930	0
30.141148	4	0.003906	0
30.141148	5	0.004883	0
30.141148	6	0.005859	0
30.141148	7	0.006836	0
30.141148	8	0.007812	0
30.141148	9	0.008789	0
30.141148	10	0.009766	0
30.141148	1024	1.000000	1
40.141930	1	0.000976	0
40.141930	2	0.001951	0
40.141930	3	0.002927	0
40.141930	4	0.003902	0
40.141930	5	0.004878	0
40.141930	6	0.005854	0
40.141930	7	0.006829	0
40.141930	8	0.007805	0
40.141930	9	0.008780	0
40.141930	10	0.009756	0
40.141930	1025	1.000000	1
50.142521	1	0.000976	1
50.142521	2	0.001951	0
50.142521	3	0.002927	0
50.142521	4	0.003902	0
50.142521	5	0.004878	0
50.142521	6	0.005854	0
50.142521	7	0.006829	0
50.142521	8	0.007805	0
50.142521	9	0.008780	0
50.142521	10	0.009756	0
50.142521	1024	0.999024	1
60.143284	1	0.000976	0
60.143284	2	0.001951	0
60.143284	3	0.002927	0
60.143284	4	0.003902	0
60.143284	5	0.004878	0
60.143284	6	0.005854	0
60.143284	7	0.006829	0
60.143284	8	0.007805	0
60.143284	9	0.008780	0
60.143284	10	0.009756	0
60.143284	1025	1.000000	1
70.144218	1	0.000976	0
70.144218	2	0.001951	0
70.144218	3	0.002927	0
70.144218	4	0.003902	0
70.144218	5	0.004878	0
70.144218	6	0.005854	0
70.144218	7	0.006829	0
70.144218	8	0.007805	0
70.144218	9	0.008780	0
70.144218	10	0.009756	0
70.144218	1025	1.000000	1
80.145157	1	0.000976	0
80.145157	2	0.001951	0
80.145157	3	0.002927	0
80.145157	4	0.003902	0
80.145157	5	0.004878	0
80.145157	6	0.005854	0
80.145157	7	0.006829	0
80.145157	8	0.007805	0
80.145157	9	0.008780	0
80.145157	10	0.009756	0
80.145157	1025	1.000000	1
90.145630	1	0.000976	0
90.145630	2	0.001951	0
90.145630	3	0.002927	0
90.145630	4	0.003902	0
90.145630	5	0.004878	0
90.145630	6	0.005854	0
90.145630	7	0.006829	0
90.145630	8	0.007805	0
90.145630	9	0.008780	0
90.145630	10	0.009756	0
90.145630	1025	1.000000	1
100.147385	1	0.000976	1
100.147385	2	0.001951	0
100.147385	3	0.002927	0
100.147385	4	0.003902	0
100.147385	5	0.004878	0
100.147385	6	0.005854	0
100.147385	7	0.006829	0
100.147385	8	0.007805	0
100.147385	9	0.008780	0
100.147385	10	0.009756	0
100.147385	1024	0.999024	1
110.148087	1	0.000976	0
110.148087	2	0.001951	0
110.148087	3	0.002927	0
110.148087	4	0.003902	0
110.148087	5	0.004878	0
110.148087	6	0.005854	0
110.148087	7	0.006829	0
110.148087	8	0.007805	0
110.148087	9	0.008780	0
110.148087	10	0.009756	0
110.148087	1025	1.000000	1
120.148918	1	0.000976	0
120.148918	2	0.001951	0
120.148918	3	0.002927	0
120.148918	4	0.003902	0
120.148918	5	0.004878	0
120.148918	6	0.005854	0
120.148918	7	0.006829	0
120.148918	8	0.007805	0
120.148918	9	0.008780	0
120.148918	10	0.009756	0
120.148918	1025	1.000000	1
130.149857	1	0.000976	0
130.149857	2	0.001951	0
130.149857	3	0.002927	0
130.149857	4	0.003902	0
130.149857	5	0.004878	0
130.149857	6	0.005854	0
130.149857	7	0.006829	0
130.149857	8	0.007805	0
130.149857	9	0.008780	0
130.149857	10	0.009756	0
130.149857	1025	1.000000	1
140.150726	1	0.000976	0
140.150726	2	0.001951	0
140.150726	3	0.002927	0
140.150726	4	0.003902	0
140.150726	5	0.004878	0
140.150726	6	0.005854	0
140.150726	7	0.006829	0
140.150726	8	0.007805	0
140.150726	9	0.008780	0
140.150726	10	0.009756	0
140.150726	1025	1.000000	1
150.151672	1	0.000976	0
150.151672	2	0.001951	0
150.151672	3	0.002927	0
150.151672	4	0.003902	0
150.151672	5	0.004878	0
150.151672	6	0.005854	0
150.151672	7	0.006829	0
150.151672	8	0.007805	0
150.151672	9	0.008780	0
150.151672	10	0.009756	0
150.151672	1025	1.000000	1
160.152390	1	0.000976	0
160.152390	2	0.001951	0
160.152390	3	0.002927	0
160.152390	4	0.003902	0
160.152390	5	0.004878	0
160.152390	6	0.005854	0
160.152390	7	0.006829	0
160.152390	8	0.007805	0
160.152390	9	0.008780	0
160.152390	10	0.009756	0
160.152390	1025	1.000000	1
170.152771	1	0.000976	0
170.152771	2	0.001951	0
170.152771	3	0.002927	0
170.152771	4	0.003902	0
170.152771	5	0.004878	0
170.152771	6	0.005854	0
170.152771	7	0.006829	0
170.152771	8	0.007805	0
