Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.000000	0.000000	1024
0	0	1	1	1	0	1	0	9.170753	0.000000	19.767834	1024
1024	1	3	3	2	0	1	0	11.297130	0.000000	20.990223	1024
